iter	RMSE
0	141181.806
1	137380.9906
2	133783.4124
3	130262.8483
4	126985.432
5	123851.6021
6	120773.7422
7	117656.8266
8	114606.4678
9	111646.5824
10	108719.8851
11	105901.5229
12	103176.331
13	100698.5944
14	98131.5526
15	95755.7209
16	93465.3531
17	91223.0163
18	88956.94239
19	86890.76021
20	84796.53958
21	82741.46998
22	80735.66658
23	78880.88276
24	77087.95055
25	75308.46467
26	73571.81933
27	72013.83538
28	70463.58205
29	68927.76437
30	67384.07756
31	65888.75807
32	64487.77168
33	63108.80345
34	61761.99802
35	60449.47193
36	59182.24071
37	58014.05873
38	56839.84314
39	55714.2765
40	54623.31553
41	53579.50253
42	52550.4308
43	51568.53197
44	50642.06113
45	49738.30787
46	48892.23792
47	48049.81339
48	47249.41504
49	46490.55282
50	45729.66306
51	45008.676
52	44310.06054
53	43629.24145
54	43032.45055
55	42437.42633
56	41832.94469
57	41330.65933
58	40781.54796
59	40257.24299
60	39764.45552
61	39273.57339
62	38805.60276
63	38342.35246
64	37905.32469
65	37489.20054
66	37097.37084
67	36714.11871
68	36363.9383
69	36043.17902
70	35712.60264
71	35411.43284
72	35106.18449
73	34814.39545
74	34531.21154
75	34294.60076
76	34020.6352
77	33766.34759
78	33518.66696
79	33285.27433
80	33067.8908
81	32836.2241
82	32645.72827
83	32467.87984
84	32292.3242
85	32113.35379
86	31954.49051
87	31790.28818
88	31622.35071
89	31455.10287
90	31315.13901
91	31172.50746
92	31037.43559
93	30909.67597
94	30772.74072
95	30673.5226
96	30552.68912
97	30445.98598
98	30320.46806
99	30202.97812
100	30097.63963
101	29981.56578
102	29895.55105
103	29800.88207
104	29714.15071
105	29636.1448
106	29555.47453
107	29473.45467
108	29386.84764
109	29301.62496
110	29221.10126
111	29138.83813
112	29073.85813
113	29008.43755
114	28939.95601
115	28874.56159
116	28824.02779
117	28784.27536
118	28751.53967
119	28672.45456
120	28627.81917
121	28578.56045
122	28528.55574
123	28502.35402
124	28416.26161
125	28383.81382
126	28335.40904
127	28314.82858
128	28280.3728
129	28241.46225
130	28186.79902
131	28156.69384
132	28122.79957
133	28073.63881
134	28059.81462
135	28024.25763
136	27970.19285
137	27934.52179
138	27907.03006
139	27875.08293
140	27847.85556
141	27812.49019
142	27782.71541
143	27731.72198
144	27701.12165
145	27663.96735
146	27634.36297
147	27583.24128
148	27549.35277
149	27526.45144
150	27475.60036
151	27446.97474
152	27422.33892
153	27374.73244
154	27339.4051
155	27309.5366
156	27280.36654
157	27242.75761
158	27221.59407
159	27195.65773
160	27187.69383
161	27163.43558
162	27139.77028
163	27110.72674
164	27076.70623
165	27033.41087
166	27007.46504
167	26980.50227
168	26955.39324
169	26928.89158
170	26898.4042
171	26877.64328
172	26853.60458
173	26822.79179
174	26773.94764
175	26754.68762
176	26727.44725
177	26711.35577
178	26688.63362
179	26644.87741
180	26616.0924
181	26587.80535
182	26573.00091
183	26552.61644
184	26532.76082
185	26503.21922
186	26480.43369
187	26462.72745
188	26429.98674
189	26417.85351
190	26382.23331
191	26364.60768
192	26339.44083
193	26326.92552
194	26307.98912
195	26276.29175
196	26258.51429
197	26239.22973
198	26232.84716
199	26205.40808
200	26179.6408
201	26165.18139
202	26145.60456
203	26138.40753
204	26120.46246
205	26087.3015
206	26056.66561
207	26024.2555
208	26010.39231
209	25994.17394
210	25975.12492
211	25947.69886
212	25938.81344
213	25919.57636
214	25907.4293
215	25893.01608
216	25875.87346
217	25841.47598
218	25832.84279
219	25812.31859
220	25795.68227
221	25776.69353
222	25764.08969
223	25747.38391
224	25730.07838
225	25709.26002
226	25691.11057
227	25676.41569
228	25656.62967
229	25643.388
230	25633.67297
231	25618.93403
232	25600.93967
233	25576.00701
234	25561.1522
235	25545.12094
236	25530.77402
237	25517.99831
238	25501.25666
239	25480.81038
240	25475.85324
241	25474.14285
242	25460.07184
243	25451.6738
244	25414.71382
245	25394.59491
246	25373.69147
247	25356.40888
248	25355.82215
249	25336.17344
250	25311.31393
251	25301.96144
252	25280.28474
253	25259.05268
254	25246.88866
255	25229.95781
256	25195.50116
257	25184.01142
258	25178.34884
259	25170.47451
260	25162.3354
261	25160.77228
262	25160.47695
263	25151.30308
264	25146.03227
265	25132.89991
266	25117.34606
267	25104.89948
268	25102.79789
269	25093.16211
270	25061.7414
271	25057.06196
272	25056.39146
273	25035.55199
274	25024.56627
275	25012.83345
276	25003.73367
277	24984.56411
278	24966.43854
279	24946.79254
280	24928.60369
281	24909.45518
282	24896.8631
283	24887.7426
284	24880.22747
285	24868.00725
286	24848.36211
287	24847.78676
288	24838.06414
289	24826.82358
290	24799.49237
291	24787.64545
292	24770.9515
293	24766.04818
294	24739.31282
295	24725.53596
296	24719.57668
297	24696.62126
298	24685.96733
299	24670.68237
300	24665.14771
301	24645.06961
302	24625.77269
303	24614.92439
304	24601.95391
305	24587.59524
306	24572.85031
307	24557.59215
308	24537.21179
309	24521.331
310	24501.85591
311	24477.21468
312	24458.22558
313	24440.96557
314	24435.27358
315	24413.14657
316	24403.31363
317	24391.42533
318	24371.56656
319	24352.6288
320	24336.15523
321	24325.35357
322	24302.76166
323	24286.99188
324	24269.5348
325	24258.66274
326	24230.63284
327	24229.71565
328	24216.90699
329	24216.42292
330	24199.62344
331	24182.68737
332	24174.59559
333	24156.46161
334	24142.45076
335	24119.45065
336	24108.85933
337	24091.74283
338	24078.47495
339	24071.39229
340	24062.41587
341	24050.12668
342	24049.47403
343	24038.48384
344	24021.38084
345	24005.6359
346	23981.15003
347	23972.975
348	23960.48587
349	23953.24584
350	23942.69054
351	23931.70908
352	23922.66591
353	23913.78557
354	23894.99639
355	23887.58775
356	23882.32115
357	23866.40963
358	23855.5179
359	23835.78127
360	23825.44989
361	23812.33611
362	23802.60516
363	23801.84938
364	23793.09719
365	23787.51578
366	23779.1274
367	23771.48639
368	23759.90295
369	23749.89143
370	23735.81067
371	23729.01655
372	23728.30936
373	23717.03628
374	23708.91841
375	23700.47078
376	23697.40115
377	23687.44965
378	23683.76914
379	23679.8361
380	23673.2093
381	23652.35059
382	23643.85341
383	23636.25602
384	23627.0604
385	23619.30549
386	23604.26348
387	23603.18766
388	23594.87606
389	23575.65568
390	23566.3989
391	23547.16995
392	23540.59619
393	23534.10055
394	23528.39583
395	23522.83887
396	23517.39606
397	23516.04448
398	23507.32776
399	23496.12709
400	23481.99598
401	23467.85523
402	23455.12459
403	23448.81928
404	23431.48118
405	23426.94961
406	23419.49865
407	23407.75453
408	23406.88883
409	23400.19208
410	23398.35284
411	23376.13542
412	23375.97436
413	23358.51815
414	23353.83049
415	23339.36392
416	23329.71491
417	23316.85385
418	23309.96745
419	23300.6223
420	23295.21788
421	23277.38429
422	23265.87668
423	23259.00011
424	23239.57296
425	23226.46841
426	23216.31304
427	23207.96346
428	23202.22525
429	23201.68337
430	23188.25683
431	23186.89578
432	23167.90015
433	23156.34699
434	23138.31373
435	23121.78004
436	23103.19852
437	23094.23218
438	23086.6093
439	23079.18619
440	23064.68293
441	23049.97557
442	23039.6215
443	23030.54659
444	23023.41891
445	23007.45231
446	23000.89455
447	22986.52525
448	22979.91607
449	22971.1872
450	22958.42461
451	22955.2264
452	22944.5608
453	22936.35058
454	22921.59554
455	22920.70788
456	22912.93873
457	22898.24783
458	22893.54416
459	22881.10225
460	22874.88257
461	22856.07036
462	22847.64816
463	22840.94881
464	22826.3317
465	22805.70126
466	22798.76529
467	22791.90073
468	22781.09971
469	22774.52472
470	22768.20551
471	22756.10864
472	22743.45469
473	22734.2224
474	22713.78347
475	22697.04391
476	22691.32996
477	22673.70058
478	22664.87871
479	22660.46621
480	22648.4248
481	22640.43594
482	22635.00391
483	22631.06823
484	22621.88379
485	22616.87434
486	22597.81161
487	22585.13512
488	22580.9872
489	22569.85908
490	22562.89668
491	22547.84446
492	22534.7193
493	22523.60432
494	22508.48385
495	22498.25976
496	22487.96054
497	22480.98301
498	22462.8694
499	22452.76367
500	22440.32322
501	22427.17383
502	22421.09884
503	22417.49558
504	22408.36898
505	22399.74706
506	22392.30305
507	22385.11914
508	22369.53513
509	22362.06624
510	22351.79104
511	22341.99585
512	22329.13085
513	22318.43728
514	22317.19126
515	22308.34033
516	22301.03643
517	22296.99044
518	22280.42624
519	22270.11303
520	22265.455
521	22261.25256
522	22257.14194
523	22253.26508
524	22240.44783
525	22224.18465
526	22216.24896
527	22204.21726
528	22196.66156
529	22188.84668
530	22183.46506
531	22174.68805
532	22169.12077
533	22161.72496
534	22157.32616
535	22146.64953
536	22143.57991
537	22137.23443
538	22134.73249
539	22127.67856
540	22118.6299
541	22108.57248
542	22100.70588
543	22097.046
544	22090.80195
545	22084.55818
546	22081.77571
547	22075.69203
548	22068.39251
549	22058.67827
550	22050.13292
551	22046.57576
552	22034.50231
553	22025.0155
554	22020.09975
555	22014.01426
556	22006.87237
557	22000.38414
558	21993.56002
559	21986.37092
560	21982.52676
561	21977.4107
562	21970.17069
563	21963.91563
564	21946.37403
565	21940.81578
566	21935.10173
567	21931.36377
568	21925.53442
569	21922.15892
570	21910.87623
571	21905.06883
572	21890.79086
573	21881.98227
574	21873.06395
575	21865.59319
576	21862.94768
577	21860.38197
578	21855.79243
579	21846.54799
580	21841.00673
581	21828.42254
582	21819.12183
583	21814.85469
584	21810.90052
585	21801.33517
586	21789.77745
587	21777.23457
588	21770.13057
589	21764.58887
590	21759.7545
591	21756.40955
592	21748.78292
593	21739.48931
594	21727.61182
595	21718.7019
596	21714.34838
597	21707.78259
598	21701.70179
599	21689.91919
600	21678.89577
601	21670.00434
602	21661.00721
603	21655.34102
604	21650.09886
605	21641.48083
606	21636.24862
607	21633.5881
608	21630.048
609	21620.34856
610	21606.88332
611	21598.78796
612	21595.02369
613	21581.45492
614	21577.80997
615	21573.42611
616	21562.87479
617	21556.51179
618	21550.30836
619	21546.33977
620	21535.70896
621	21530.21693
622	21517.64399
623	21513.87468
624	21503.03909
625	21495.94157
626	21485.03881
627	21479.42168
628	21475.3522
629	21471.81558
630	21462.13086
631	21451.21906
632	21441.86952
633	21435.15782
634	21427.46491
635	21419.18904
636	21409.66015
637	21405.21951
638	21398.26886
639	21395.31385
640	21387.30349
641	21382.75152
642	21377.02968
643	21373.67735
644	21369.11608
645	21362.56813
646	21354.93351
647	21351.03395
648	21347.44566
649	21343.946
650	21339.9834
651	21329.00708
652	21322.96477
653	21311.91479
654	21301.98282
655	21291.69164
656	21286.15425
657	21277.95577
658	21270.16008
659	21262.08809
660	21251.80209
661	21247.06251
662	21242.51027
663	21231.23527
664	21223.82972
665	21216.18554
666	21204.75403
667	21199.11329
668	21189.90799
669	21183.01056
670	21172.79534
671	21168.97314
672	21159.3647
673	21150.62668
674	21144.47371
675	21134.40548
676	21126.31706
677	21117.72287
678	21109.81965
679	21102.87058
680	21101.72112
681	21092.94586
682	21084.25857
683	21075.618
684	21068.72715
685	21059.89757
686	21054.6557
687	21047.67706
688	21043.34325
689	21039.93827
690	21037.21306
691	21033.01224
692	21027.07004
693	21018.28229
694	21014.02542
695	21003.96241
696	21000.20687
697	20995.97366
698	20989.13561
699	20978.59273
700	20974.27709
701	20968.5499
702	20962.22705
703	20954.71809
704	20951.70606
705	20946.23235
706	20937.29244
707	20931.59558
708	20928.85114
709	20921.71233
710	20918.86822
711	20910.78992
712	20901.10461
713	20896.95596
714	20891.72968
715	20885.95731
716	20876.04569
717	20869.27967
718	20866.27504
719	20861.90087
720	20859.62954
721	20851.73796
722	20845.26986
723	20840.87192
724	20836.58763
725	20833.8897
726	20828.52493
727	20820.48335
728	20816.90599
729	20809.62118
730	20805.18125
731	20804.57962
732	20804.22209
733	20801.30466
734	20797.04341
735	20792.03246
736	20784.07923
737	20783.5374
738	20778.01397
739	20770.29024
740	20763.79168
741	20756.59643
742	20747.1246
743	20744.0925
744	20734.73552
745	20732.78164
746	20726.53327
747	20723.72234
748	20718.71138
749	20709.20216
750	20703.6822
751	20694.74074
752	20687.6312
753	20685.16034
754	20677.21462
755	20671.40407
756	20667.30711
757	20658.52143
758	20650.78031
759	20647.1281
760	20641.74779
761	20638.42265
762	20634.31096
763	20631.89101
764	20625.24002
765	20620.80214
766	20620.49299
767	20613.94309
768	20611.32202
769	20611.043
770	20602.28473
771	20600.47646
772	20592.32584
773	20587.02847
774	20581.88856
775	20571.86764
776	20566.15417
777	20562.39797
778	20556.22997
779	20546.72077
780	20541.43926
781	20534.80712
782	20525.43702
783	20522.08091
784	20516.32289
785	20510.13114
786	20504.54714
787	20500.8879
788	20494.16476
789	20488.86521
790	20486.30862
791	20479.01982
792	20474.53021
793	20467.00426
794	20466.54051
795	20458.82718
796	20453.69917
797	20450.63353
798	20448.35436
799	20445.98324
800	20440.42578
801	20436.40648
802	20432.14198
803	20424.09578
804	20417.96198
805	20412.91586
806	20404.71297
807	20401.1691
808	20398.65388
809	20392.45356
810	20388.82746
811	20387.40775
812	20383.63769
813	20381.55308
814	20378.88881
815	20375.60944
816	20369.54746
817	20365.48853
818	20356.01358
819	20353.28088
820	20350.70387
821	20346.44237
822	20339.10486
823	20334.19941
824	20327.23796
825	20320.1994
826	20315.75164
827	20310.06799
828	20300.32777
829	20295.76531
830	20289.68895
831	20284.827
832	20278.80651
833	20271.34462
834	20265.79458
835	20262.48492
836	20256.29661
837	20247.91363
838	20240.37283
839	20234.72982
840	20228.8684
841	20226.69163
842	20222.96618
843	20216.9714
844	20212.07068
845	20210.01558
846	20201.75183
847	20197.11843
848	20191.09285
849	20185.31481
850	20180.32787
851	20177.51261
852	20173.54049
853	20165.61277
854	20162.47186
855	20160.09466
856	20153.68652
857	20150.34163
858	20144.48151
859	20139.21952
860	20132.46236
861	20130.80307
862	20126.58532
863	20122.81988
864	20120.0225
865	20116.20813
866	20112.41473
867	20107.49099
868	20101.29201
869	20099.75347
870	20090.09825
871	20086.50687
872	20084.89577
873	20079.09306
874	20075.35153
875	20068.29073
876	20061.10782
877	20053.49853
878	20048.54614
879	20045.6403
880	20041.28481
881	20036.61159
882	20034.20057
883	20031.02494
884	20023.31349
885	20019.81222
886	20014.66722
887	20010.36694
888	20006.8999
889	20004.84054
890	19999.58336
891	19996.23403
892	19992.02471
893	19987.37733
894	19983.72776
895	19981.30632
896	19977.98773
897	19975.0697
898	19969.59565
899	19963.4736
900	19957.37646
901	19949.80757
902	19944.56752
903	19942.56386
904	19939.11983
905	19934.26102
906	19928.02733
907	19921.41583
908	19915.46793
909	19912.26981
910	19909.0236
911	19904.78596
912	19899.81375
913	19896.88937
914	19894.32872
915	19888.50647
916	19882.66092
917	19878.70158
918	19874.59863
919	19871.34847
920	19865.98612
921	19859.77292
922	19854.01828
923	19842.81084
924	19836.5279
925	19834.11361
926	19828.59585
927	19824.02834
928	19819.82665
929	19814.77658
930	19807.82769
931	19802.76496
932	19799.85423
933	19797.00322
934	19794.7958
935	19788.82058
936	19784.86828
937	19779.01969
938	19776.4865
939	19771.16561
940	19768.80709
941	19762.74977
942	19758.40895
943	19753.90112
944	19747.63771
945	19741.4431
946	19736.74575
947	19729.99674
948	19724.96014
949	19720.64518
950	19717.93952
951	19716.1759
952	19712.39234
953	19707.4688
954	19706.26578
955	19698.15933
956	19692.55068
957	19690.58167
958	19684.32774
959	19674.56929
960	19667.28214
961	19663.52671
962	19656.22657
963	19655.39124
964	19649.8016
965	19649.45332
966	19643.34209
967	19640.69172
968	19636.03572
969	19633.09951
970	19629.37482
971	19626.64285
972	19620.49238
973	19615.97917
974	19612.11591
975	19609.50421
976	19605.10587
977	19600.95159
978	19596.34774
979	19590.66181
980	19588.37239
981	19584.69615
982	19580.40856
983	19574.27817
984	19567.8004
985	19566.4886
986	19562.28523
987	19557.84973
988	19552.54709
989	19546.85342
990	19542.03175
991	19538.61785
992	19531.9689
993	19529.56392
994	19526.70094
995	19522.81592
996	19517.28406
997	19515.34792
998	19510.77259
999	19507.49395
1000	19506.41213
1001	19503.79799
1002	19500.78662
1003	19496.63492
1004	19493.69838
1005	19489.80941
1006	19489.48745
1007	19482.47451
1008	19477.1013
1009	19472.01877
1010	19467.66704
1011	19462.37495
1012	19459.94125
1013	19454.79558
1014	19446.25212
1015	19441.7735
1016	19438.99662
1017	19436.18164
1018	19431.01503
1019	19427.90393
1020	19424.5106
1021	19417.14426
1022	19413.24549
1023	19409.23319
1024	19402.26087
1025	19396.07124
1026	19390.66157
1027	19387.17843
1028	19381.50575
1029	19377.25735
1030	19372.55601
1031	19368.72661
1032	19363.57151
1033	19358.57856
1034	19354.54748
1035	19352.89115
1036	19346.38525
1037	19342.2987
1038	19334.73325
1039	19329.92508
1040	19326.26986
1041	19321.34751
1042	19317.24805
1043	19313.11626
1044	19309.27709
1045	19307.54876
1046	19305.29065
1047	19298.59935
1048	19292.04731
1049	19286.08106
1050	19281.58558
1051	19277.34089
1052	19274.69499
1053	19271.03649
1054	19267.35811
1055	19265.02607
1056	19259.32072
1057	19254.43606
1058	19250.57834
1059	19248.21329
1060	19244.27311
1061	19240.27465
1062	19235.82417
1063	19232.00623
1064	19227.27074
1065	19223.49263
1066	19222.08765
1067	19220.89711
1068	19217.43248
1069	19216.28887
1070	19213.95454
1071	19210.9663
1072	19206.96249
1073	19206.67282
1074	19201.16259
1075	19197.69764
1076	19192.04608
1077	19187.18238
1078	19180.96457
1079	19176.11761
1080	19170.04415
1081	19162.37147
1082	19157.74176
1083	19152.8659
1084	19148.4281
1085	19146.39858
1086	19143.82391
1087	19143.55455
1088	19136.00609
1089	19133.14231
1090	19130.48468
1091	19124.47923
1092	19117.38399
1093	19115.06568
1094	19111.71722
1095	19109.54852
1096	19106.0737
1097	19101.36404
1098	19096.93615
1099	19093.63535
1100	19093.37669
1101	19089.73693
1102	19086.33885
1103	19082.11411
1104	19076.99318
1105	19071.55439
1106	19067.9184
1107	19063.59769
1108	19061.23506
1109	19058.78279
1110	19054.84309
1111	19054.59572
1112	19051.69396
1113	19047.48688
1114	19045.65082
1115	19043.40655
1116	19039.68979
1117	19035.07559
1118	19032.78484
1119	19029.60299
1120	19025.37211
1121	19020.54338
1122	19013.87813
1123	19011.35487
1124	19008.6549
1125	19004.34111
1126	18998.49078
1127	18993.29098
1128	18989.19053
1129	18985.30767
1130	18982.12927
1131	18979.63528
1132	18975.0267
1133	18969.17597
1134	18965.01265
1135	18962.14443
1136	18960.0809
1137	18958.55246
1138	18956.86606
1139	18955.50054
1140	18952.34124
1141	18948.72306
1142	18946.36179
1143	18942.59694
1144	18939.16129
1145	18932.76429
1146	18930.46746
1147	18928.51858
1148	18921.85267
1149	18917.68482
1150	18913.39636
1151	18909.69574
1152	18906.98662
1153	18903.83118
1154	18896.82038
1155	18890.29615
1156	18884.9933
1157	18882.38112
1158	18876.47715
1159	18872.92503
1160	18869.8483
1161	18866.29214
1162	18861.50368
1163	18858.96216
1164	18853.07408
1165	18846.67758
1166	18844.53745
1167	18841.10385
1168	18839.26282
1169	18834.51696
1170	18829.97714
1171	18825.56651
1172	18820.21646
1173	18815.52731
1174	18809.30935
1175	18804.29174
1176	18797.83194
1177	18795.34678
1178	18790.73932
1179	18787.05606
1180	18780.99078
1181	18777.56411
1182	18771.2902
1183	18766.9272
1184	18760.49818
1185	18755.43454
1186	18750.65093
1187	18746.35157
1188	18741.48423
1189	18739.08933
1190	18737.97893
1191	18732.62491
1192	18729.93133
1193	18726.28894
1194	18723.66
1195	18719.1909
1196	18717.01748
1197	18716.0291
1198	18713.9324
1199	18711.30132
1200	18709.52088
1201	18704.48464
1202	18700.41155
1203	18696.53395
1204	18693.09696
1205	18689.08079
1206	18683.0079
1207	18679.36513
1208	18674.31657
1209	18671.59332
1210	18669.57235
1211	18665.58266
1212	18660.72004
1213	18655.60943
1214	18651.62018
1215	18647.10362
1216	18642.92097
1217	18638.30843
1218	18634.84395
1219	18628.43105
1220	18624.91819
1221	18622.76705
1222	18616.81896
1223	18614.11474
1224	18609.58076
1225	18604.22098
1226	18600.3705
1227	18596.46429
1228	18595
1229	18593.29803
1230	18588.10676
1231	18584.13166
1232	18581.87992
1233	18579.06262
1234	18574.1481
1235	18569.07413
1236	18565.62917
1237	18561.4383
1238	18557.3028
1239	18553.15393
1240	18550.39426
1241	18548.20751
1242	18545.34789
1243	18540.95265
1244	18536.31417
1245	18535.35935
1246	18533.12997
1247	18529.93516
1248	18525.32387
1249	18523.77019
1250	18521.44758
1251	18517.91026
1252	18514.55001
1253	18510.97103
1254	18506.92707
1255	18503.43347
1256	18501.7983
1257	18497.94365
1258	18495.35765
1259	18492.32451
1260	18490.21324
1261	18487.14037
1262	18483.78885
1263	18480.71729
1264	18476.49147
1265	18474.54358
1266	18473.70854
1267	18471.88479
1268	18467.16398
1269	18463.13727
1270	18460.8901
1271	18458.68357
1272	18454.63063
1273	18450.79942
1274	18447.32787
1275	18442.44242
1276	18437.8962
1277	18434.03326
1278	18429.71211
1279	18428.25047
1280	18425.42408
1281	18422.64148
1282	18418.77628
1283	18412.92191
1284	18409.02771
1285	18407.58784
1286	18405.39535
1287	18399.86336
1288	18394.24693
1289	18389.62127
1290	18387.98619
1291	18386.64719
1292	18384.57292
1293	18384.16904
1294	18378.08416
1295	18374.44633
1296	18372.30454
1297	18367.69724
1298	18364.62493
1299	18361.55389
1300	18359.13425
1301	18354.94736
1302	18352.22024
1303	18348.69459
1304	18347.58229
1305	18344.65014
1306	18343.26186
1307	18342.03875
1308	18340.6748
1309	18338.84485
1310	18335.62402
1311	18332.42919
1312	18326.17153
1313	18321.14542
1314	18319.40681
1315	18316.72526
1316	18311.29735
1317	18311.07901
1318	18307.98475
1319	18304.907
1320	18302.55072
1321	18297.06027
1322	18293.47019
1323	18290.79552
1324	18288.46317
1325	18287.78061
1326	18284.61495
1327	18281.03284
1328	18276.66837
1329	18273.43872
1330	18269.7113
1331	18266.75054
1332	18262.54657
1333	18258.23809
1334	18257.37309
1335	18255.51866
1336	18254.06433
1337	18250.58767
1338	18245.28569
1339	18241.85799
1340	18237.66084
1341	18233.54613
1342	18231.54516
1343	18228.16213
1344	18225.12841
1345	18222.2214
1346	18219.34119
1347	18214.97411
1348	18214.0865
1349	18209.90045
1350	18208.70727
1351	18205.9827
1352	18202.41326
1353	18196.58136
1354	18191.01426
1355	18188.58848
1356	18182.3347
1357	18179.27875
1358	18176.7039
1359	18175.21513
1360	18171.93999
1361	18168.44501
1362	18163.82739
1363	18160.7188
1364	18154.31945
1365	18153.53778
1366	18147.91767
1367	18143.75375
1368	18141.32891
1369	18138.14121
1370	18135.91143
1371	18134.11755
1372	18130.20749
1373	18125.36264
1374	18123.59062
1375	18117.73793
1376	18114.02602
1377	18112.70111
1378	18111.14452
1379	18109.33535
1380	18105.53462
1381	18102.69165
1382	18100.52122
1383	18099.67024
1384	18096.16359
1385	18093.94719
1386	18088.32697
1387	18087.06297
1388	18083.93938
1389	18081.85359
1390	18078.55989
1391	18078.35627
1392	18077.10349
1393	18075.59135
1394	18074.45613
1395	18073.26453
1396	18069.0891
1397	18067.1132
1398	18064.27604
1399	18062.4041
1400	18061.14692
1401	18059.3203
1402	18058.64505
1403	18056.35582
1404	18053.58504
1405	18051.10341
1406	18047.36178
1407	18045.46824
1408	18041.86309
1409	18039.73983
1410	18037.18038
1411	18034.42777
1412	18029.09074
1413	18027.64878
1414	18024.13649
1415	18022.68345
1416	18021.70686
1417	18017.1306
1418	18014.539
1419	18009.8114
1420	18007.62748
1421	18004.02442
1422	18000.12437
1423	17997.00592
1424	17992.80864
1425	17990.7499
1426	17988.5741
1427	17987.43119
1428	17984.90179
1429	17984.71941
1430	17981.99266
1431	17979.80788
1432	17975.42687
1433	17971.64964
1434	17968.01599
1435	17966.12201
1436	17962.07246
1437	17958.06565
1438	17956.82876
1439	17952.57425
1440	17951.12466
1441	17949.89411
1442	17947.06137
1443	17944.61498
1444	17943.78958
1445	17942.77941
1446	17939.13176
1447	17937.10797
1448	17933.5815
1449	17929.47169
1450	17927.70524
1451	17925.65619
1452	17922.09281
1453	17919.29436
1454	17915.36088
1455	17912.19202
1456	17909.31942
1457	17907.1639
1458	17903.56031
1459	17901.2746
1460	17899.21608
1461	17897.61178
1462	17893.74786
1463	17890.20904
1464	17888.85168
1465	17886.03232
1466	17883.02222
1467	17878.52772
1468	17875.46992
1469	17872.7727
1470	17868.52453
1471	17864.74683
1472	17861.20879
1473	17856.51538
1474	17853.83399
1475	17852.06864
1476	17850.08955
1477	17847.70025
1478	17845.80087
1479	17842.51702
1480	17839.39115
1481	17833.90819
1482	17833.01533
1483	17831.12489
1484	17826.44426
1485	17821.92546
1486	17820.98178
1487	17817.03146
1488	17814.14246
1489	17811.17649
1490	17806.59155
1491	17803.51205
1492	17802.20892
1493	17800.92205
1494	17798.48146
1495	17796.81924
1496	17794.57761
1497	17791.9007
1498	17788.68327
1499	17784.44372
1500	17781.82965
1501	17777.02063
1502	17773.62383
1503	17771.93697
1504	17770.56745
1505	17767.55048
1506	17764.37905
1507	17761.08123
1508	17759.71472
1509	17754.07689
1510	17750.03072
1511	17748.49019
1512	17746.27378
1513	17745.30087
1514	17741.54716
1515	17738.47328
1516	17734.58679
1517	17731.58787
1518	17725.73924
1519	17722.6493
1520	17719.42431
1521	17716.42518
1522	17712.31187
1523	17709.86211
1524	17704.88377
1525	17702.85922
1526	17699.50334
1527	17696.01852
1528	17691.91034
1529	17688.3899
1530	17686.44206
1531	17683.99542
1532	17682.31065
1533	17677.11613
1534	17675.6402
1535	17675.47414
1536	17672.72028
1537	17668.649
1538	17667.84736
1539	17663.40193
