iter	Passed	Remaining
0	17	34741
1	21	21132
2	22	15115
3	33	16807
4	58	23234
5	82	27349
6	101	28789
7	103	25704
8	105	23412
9	123	24647
10	175	31697
11	181	30060
12	186	28464
13	210	29835
14	212	28142
15	340	42207
16	554	64707
17	577	63543
18	582	60682
19	606	60055
20	611	57632
21	639	57492
22	647	55686
23	709	58428
24	737	58224
25	773	58732
26	830	60685
27	854	60178
28	857	58301
29	889	58443
30	916	58240
31	924	56845
32	930	55464
33	947	54805
34	953	53511
35	970	52969
36	980	52030
37	990	51155
38	1001	50363
39	1003	49164
40	1005	48066
41	1011	47144
42	1028	46820
43	1047	46587
44	1067	46383
45	1074	45624
46	1099	45704
47	1114	45328
48	1142	45478
49	1172	45728
50	1203	45987
51	1295	48513
52	1342	49319
53	1442	51988
54	1470	52016
55	1508	52368
56	1511	51510
57	1512	50645
58	1517	49935
59	1571	50805
60	1647	52380
61	1861	58192
62	2008	61754
63	2011	60845
64	2036	60611
65	2041	59836
66	2062	59518
67	2082	59174
68	2091	58536
69	2096	57816
70	2120	57614
71	2185	58516
72	2246	59313
73	2263	58903
74	2285	58649
75	2286	57891
76	2303	57525
77	2321	57196
78	2338	56859
79	2357	56577
80	2367	56078
81	2383	55743
82	2385	55091
83	2387	54465
84	2405	54199
85	2422	53914
86	2431	53461
87	2447	53182
88	2464	52910
89	2480	52643
90	2496	52367
91	2512	52099
92	2528	51843
93	2544	51593
94	2561	51354
95	2576	51107
96	2593	50880
97	2610	50656
98	2626	50427
99	2642	50215
100	2659	50001
101	2678	49835
102	2701	49762
103	2725	49693
104	2750	49645
105	2776	49608
106	2801	49555
107	2820	49410
108	2836	49208
109	2852	49010
110	2869	48834
111	2889	48708
112	2915	48687
113	2934	48552
114	2950	48369
115	2966	48186
116	2970	47805
117	2972	47416
118	2975	47034
119	2993	46890
120	2997	46548
121	3019	46475
122	3062	46739
123	3065	46370
124	3176	47644
125	3279	48778
126	3307	48780
127	3309	48394
128	3327	48259
129	3350	48195
130	3377	48183
131	3402	48146
132	3427	48107
133	3451	48067
134	3457	47759
135	3479	47695
136	3502	47634
137	3520	47499
138	3537	47360
139	3554	47222
140	3560	46936
141	3575	46786
142	3591	46637
143	3607	46496
144	3626	46396
145	3642	46257
146	3648	45985
147	3664	45854
148	3680	45725
149	3697	45600
150	3713	45472
151	3730	45357
152	3740	45150
153	3755	45020
154	3771	44895
155	3787	44772
156	3803	44650
157	3820	44541
158	3838	44449
159	3854	44329
160	3856	44054
161	3872	43935
162	3889	43829
163	3912	43799
164	3941	43832
165	3966	43825
166	3991	43812
167	4019	43829
168	4051	43895
169	4074	43865
170	4092	43773
