iter	Passed	Remaining
0	31	63233
1	41	41244
2	42	28516
3	44	22214
4	94	37694
5	164	54687
6	173	49496
7	180	44861
8	197	43766
9	223	44408
10	231	41866
11	254	42114
12	263	40240
13	279	39619
14	281	37231
15	296	36807
16	300	35021
17	317	34917
18	322	33607
19	331	32862
20	333	31435
21	349	31463
22	352	30294
23	370	30522
24	391	30928
25	409	31057
26	432	31568
27	453	31932
28	455	30953
29	471	30990
30	491	31210
31	499	30692
32	512	30540
33	545	31541
34	559	31396
35	583	31855
36	597	31715
37	610	31511
38	622	31302
39	626	30711
40	629	30080
41	640	29861
42	665	30301
43	688	30601
44	710	30887
45	731	31052
46	752	31279
47	769	31289
48	785	31276
49	801	31265
50	818	31267
51	819	30715
52	835	30700
53	851	30691
54	868	30697
55	883	30684
56	900	30683
57	908	30429
58	910	29954
59	926	29961
60	943	29981
61	946	29589
62	952	29270
63	960	29065
64	977	29090
65	983	28811
66	1004	28982
67	1005	28575
68	1011	28293
69	1028	28350
70	1045	28403
71	1061	28414
72	1077	28449
73	1082	28162
74	1097	28180
75	1114	28207
76	1131	28255
77	1147	28272
78	1148	27934
79	1151	27630
80	1185	28097
81	1187	27775
82	1242	28708
83	1353	30864
84	1379	31086
85	1394	31037
86	1409	30985
87	1436	31207
88	1571	33744
89	1612	34229
90	1641	34427
91	1679	34835
92	1741	35720
93	1769	35873
94	1781	35713
95	1794	35588
96	1816	35639
97	1833	35584
98	1849	35518
99	1866	35458
100	1883	35410
101	1885	35076
102	1902	35036
103	1919	34996
104	1935	34932
105	1952	34886
106	1969	34836
107	1971	34533
108	1987	34473
109	2003	34417
110	2018	34358
111	2035	34305
112	2051	34253
113	2067	34207
114	2085	34185
115	2103	34162
116	2121	34143
117	2138	34101
118	2153	34044
119	2169	33988
120	2185	33933
121	2200	33879
122	2203	33618
123	2218	33567
124	2234	33513
125	2249	33461
126	2265	33417
127	2281	33370
128	2297	33325
129	2313	33284
130	2329	33241
131	2352	33296
132	2369	33264
133	2559	35644
134	2642	36508
135	2668	36574
136	2706	36809
137	2732	36868
138	2742	36722
139	2760	36670
140	2776	36606
141	2792	36537
142	2808	36477
143	2824	36409
144	2841	36352
145	2858	36294
146	2874	36239
147	2891	36179
148	2907	36122
149	2923	36060
150	2940	36004
151	2956	35947
152	2973	35891
153	2989	35835
154	3005	35780
155	3021	35720
156	3038	35669
157	3055	35617
158	3071	35565
159	3088	35514
160	3106	35486
161	3127	35487
162	3146	35463
163	3170	35492
164	3189	35470
165	3213	35498
166	3236	35520
167	3244	35383
168	3251	35231
169	3257	35063
170	3280	35087
171	3302	35103
172	3317	35036
173	3340	35055
174	3348	34917
175	3353	34756
176	3378	34794
177	3400	34811
178	3423	34826
179	3446	34852
180	3470	34873
181	3493	34892
182	3516	34911
183	3539	34932
184	3562	34950
185	3586	34974
186	3603	34933
187	3619	34886
188	3641	34897
189	3701	35263
190	3721	35251
191	3845	36212
192	3929	36786
193	3950	36780
194	3975	36803
195	3982	36652
196	4001	36620
197	4025	36635
198	4065	36796
199	4094	36849
200	4123	36908
201	4140	36854
202	4141	36664
203	4157	36600
204	4173	36545
205	4190	36490
206	4205	36429
207	4222	36378
208	4239	36328
209	4255	36272
210	4271	36219
211	4288	36169
212	4293	36024
213	4309	35967
214	4312	35801
215	4327	35746
216	4345	35708
217	4364	35673
218	4380	35627
219	4397	35577
220	4413	35528
221	4430	35482
222	4446	35434
223	4463	35386
224	4479	35337
225	4495	35288
226	4501	35156
227	4503	35002
228	4519	34953
229	4535	34902
230	4551	34853
231	4553	34702
232	4569	34653
233	4585	34609
234	4601	34563
235	4617	34516
236	4633	34469
237	4649	34424
238	4665	34378
239	4681	34333
240	4697	34287
241	4713	34243
242	4723	34150
243	4724	33999
244	4740	33957
245	4757	33918
246	4773	33877
247	4789	33838
248	4806	33796
249	4822	33756
250	4838	33714
251	4854	33672
252	4870	33632
253	4886	33591
254	4902	33550
255	4918	33510
256	4954	33603
257	5086	34340
258	5106	34325
259	5123	34285
260	5145	34285
261	5169	34289
262	5174	34177
263	5186	34104
264	5188	33972
265	5204	33928
266	5221	33888
267	5237	33851
268	5255	33815
269	5272	33782
270	5288	33740
271	5304	33698
272	5307	33574
273	5323	33532
274	5339	33492
275	5356	33459
276	5379	33462
277	5398	33437
278	5402	33324
279	5425	33328
280	5450	33341
281	5474	33350
282	5493	33328
283	5516	33330
284	5538	33328
285	5561	33328
286	5582	33321
287	5605	33322
288	5627	33319
289	5650	33320
290	5674	33323
291	5698	33330
292	5720	33327
293	5742	33320
294	5760	33296
295	5782	33290
296	5804	33282
297	5827	33283
298	5846	33261
299	5863	33228
300	5880	33194
301	5899	33167
302	5915	33127
303	5931	33089
304	5981	33239
305	6013	33290
306	6031	33259
307	6082	33414
308	6112	33452
309	6177	33677
310	6259	33993
311	6334	34269
312	6354	34246
313	6420	34471
314	6427	34379
315	6481	34539
316	6486	34439
317	6492	34340
318	6539	34459
319	6570	34496
320	6594	34495
321	6611	34452
322	6627	34411
323	6643	34367
324	6660	34327
325	6677	34287
326	6694	34250
327	6713	34222
328	6729	34177
329	6730	34060
330	6746	34018
331	6762	33977
332	6766	33871
333	6782	33828
334	6798	33790
335	6814	33749
336	6831	33709
337	6847	33669
338	6863	33627
339	6879	33586
340	6895	33546
341	6897	33440
342	6913	33400
343	6929	33358
344	6945	33317
345	6960	33275
346	6976	33235
347	6993	33196
348	6996	33097
349	7013	33065
350	7016	32962
351	7032	32925
352	7048	32885
353	7050	32780
354	7051	32675
355	7068	32640
356	7086	32615
357	7105	32590
358	7110	32502
359	7131	32486
360	7152	32473
