iter	R2	RMSE
303	0.860306396	24464.77232
304	0.8604266949	24454.23598
305	0.8605564187	24442.86907
306	0.8605774423	24441.0264
307	0.8607913882	24422.26665
308	0.8610688371	24397.91719
309	0.8611782884	24388.30483
310	0.8613796551	24370.61029
311	0.8615403478	24356.48063
312	0.8616212838	24349.36085
313	0.8617214797	24340.54394
314	0.8617264338	24340.10791
315	0.8619127675	24323.70235
316	0.8619176266	24323.27438
317	0.8619240228	24322.71103
318	0.8620934204	24307.78638
319	0.8622875341	24290.67284
320	0.8624869147	24273.08242
321	0.862651352	24258.56528
322	0.8627791539	24247.27644
323	0.8629245369	24234.42826
324	0.863139822	24215.38998
325	0.8633412403	24197.56442
326	0.8633973912	24192.59271
327	0.8636411181	24171.00082
328	0.8637034858	24165.47253
329	0.8637079781	24165.07429
330	0.8637394755	24162.28183
331	0.8639079894	24147.33641
332	0.8639191652	24146.3449
333	0.8639866772	24140.35446
334	0.8641763195	24123.51924
335	0.8642101794	24120.51213
336	0.8644677906	24097.62137
337	0.8646902169	24077.83956
338	0.8647272604	24074.54346
339	0.8648786305	24061.07
340	0.8650122477	24049.17044
341	0.8650182811	24048.63299
342	0.8651357371	24038.1676
343	0.8654129476	24013.44993
344	0.8655867161	23997.94277
345	0.8657516308	23983.21644
346	0.8659256717	23967.66535
347	0.8660881477	23953.13852
348	0.8661008534	23952.00215
349	0.8662090253	23942.32525
350	0.8662179783	23941.52415
351	0.866330086	23931.49069
352	0.8663929188	23925.86542
353	0.8663981077	23925.40081
354	0.8664024514	23925.01187
355	0.8665514492	23911.66668
356	0.8666805481	23900.09775
357	0.8667548299	23893.43859
358	0.86676173	23892.81992
359	0.8668896353	23881.34893
360	0.8671152685	23861.0999
361	0.8671637241	23856.7491
362	0.8672746661	23846.7847
363	0.8674332529	23832.53378
364	0.867482999	23828.06174
365	0.8675143635	23825.24173
366	0.8675223468	23824.52389
367	0.867525678	23824.22435
368	0.8676047346	23817.11451
369	0.867609222	23816.71088
370	0.8676598169	23812.1595
371	0.8676923301	23809.23425
372	0.8677040877	23808.17631
373	0.8677268758	23806.12574
374	0.8677588208	23803.25088
375	0.8678365741	23796.2521
376	0.8678652605	23793.66944
377	0.867885777	23791.82216
378	0.8679115495	23789.50142
379	0.8679149226	23789.19766
380	0.8679188775	23788.84151
381	0.8679779012	23783.5256
382	0.868135243	23769.34896
383	0.868242826	23759.65078
384	0.8685263426	23734.07387
385	0.8688094732	23708.50424
386	0.8688130362	23708.18228
387	0.8688167513	23707.84659
388	0.869086658	23683.44484
389	0.8693894885	23656.03655
390	0.869465604	23649.14256
391	0.8695749243	23639.23762
392	0.869785162	23620.17739
393	0.8700282178	23598.12267
394	0.8702480848	23578.15432
395	0.8704542512	23559.41489
396	0.8705204327	23553.39617
397	0.8706607697	23540.62848
398	0.8707655333	23531.0927
399	0.8710220151	23507.73093
400	0.8711949009	23491.97042
401	0.8713970064	23473.5328
402	0.871544032	23460.11088
403	0.8717317953	23442.95887
404	0.8718498242	23432.1706
405	0.8719610765	23421.99719
406	0.8720097156	23417.54802
407	0.8721919487	23400.87108
408	0.8723779022	23383.84141
409	0.8726182683	23361.81023
410	0.8726894511	23355.28185
411	0.8727303184	23351.53297
412	0.8728399777	23341.47062
413	0.8730143811	23325.4584
414	0.8731853844	23309.74767
415	0.8734059087	23289.4716
416	0.8735134714	23279.57536
417	0.8736914499	23263.19132
418	0.8738782889	23245.97918
419	0.874083804	23227.03182
420	0.874269485	23209.89975
421	0.8743467985	23202.7626
422	0.8744761024	23190.82109
423	0.874573268	23181.84356
424	0.8747652102	23164.09903
425	0.8748308252	23158.02998
426	0.8749820351	23144.0378
427	0.8751534186	23128.16861
428	0.8752114888	23122.78916
429	0.8753373594	23111.12456
430	0.8754582738	23099.91373
431	0.8756432411	23082.75355
432	0.8756812358	23079.22704
433	0.8758487126	23063.67614
434	0.8759075097	23058.2141
435	0.8760676729	23043.32895
436	0.8762407316	23027.23452
437	0.8763690825	23015.29064
438	0.8764707993	23005.82083
439	0.8765900699	22994.71179
440	0.8767041917	22984.07729
441	0.8768419024	22971.2381
442	0.8769460789	22961.52063
443	0.8770845977	22948.59338
444	0.8771513463	22942.36147
445	0.8771860235	22939.12321
446	0.8773440646	22924.35904
447	0.8774667562	22912.89067
448	0.8776308281	22897.54536
449	0.877766314	22884.86588
450	0.8779168148	22870.77299
451	0.8780530255	22858.01073
452	0.8781873838	22845.41506
453	0.878296984	22835.13523
454	0.8783178284	22833.17963
455	0.8784248628	22823.13513
456	0.8785443309	22811.91858
457	0.8786752243	22799.62301
458	0.8787767877	22790.078
459	0.878801522	22787.75284
460	0.8788194187	22786.07031
461	0.878977298	22771.22214
462	0.8789927012	22769.77298
463	0.8791026264	22759.4284
464	0.8792021102	22750.06235
465	0.8793268206	22738.31586
466	0.879491688	22722.77766
467	0.8795345297	22718.73823
468	0.8796260605	22710.10564
469	0.8797274573	22700.53871
470	0.8798005501	22693.6398
