iter	RMSE
0	141816.4992
1	137999.3918
2	134372.9645
3	130835.6835
4	127542.0722
5	124393.0133
6	121298.3757
7	118165.7029
8	115101.0465
9	112126.727
10	109393.9575
11	106634.2763
12	103883.9921
13	101365.8666
14	98769.67133
15	96250.56173
16	93905.39778
17	91550.7307
18	89313.31616
19	87159.63873
20	85004.21677
21	82913.00268
22	80915.89928
23	79059.02862
24	77266.72412
25	75490.27975
26	73753.61465
27	72198.85341
28	70645.01159
29	69079.01865
30	67588.18654
31	66095.57325
32	64684.70915
33	63302.74248
34	61955.571
35	60628.57927
36	59365.38847
37	58236.48428
38	57059.36131
39	55933.38025
40	54842.35932
41	53807.73731
42	52782.33882
43	51804.50516
44	50880.1291
45	49976.39895
46	49128.83589
47	48275.95892
48	47468.86398
49	46708.23915
50	45961.24438
51	45243.97706
52	44552.16969
53	43879.2442
54	43272.4281
55	42680.49104
56	42124.61974
57	41625.38025
58	41081.16666
59	40551.81981
60	40060.89515
61	39581.65637
62	39114.83857
63	38653.96181
64	38216.84802
65	37805.81786
66	37397.82723
67	37036.65303
68	36681.15353
69	36335.45265
70	36017.60947
71	35691.88571
72	35383.9663
73	35092.02508
74	34825.46016
75	34576.86063
76	34304.3567
77	34068.57109
78	33809.42757
79	33572.62025
80	33385.20401
81	33160.73927
82	32968.02645
83	32776.07569
84	32578.76129
85	32402.1909
86	32215.0381
87	32068.96795
88	31924.68873
89	31773.89784
90	31608.46998
91	31460.02113
92	31307.93621
93	31183.62954
94	31055.44058
95	30951.61549
96	30824.99242
97	30719.61137
98	30613.94052
99	30525.50854
100	30387.63734
101	30279.61703
102	30196.03758
103	30110.00044
104	30018.22665
105	29925.40248
106	29836.51927
107	29747.08733
108	29682.36507
109	29605.08963
110	29516.50368
111	29443.79674
112	29359.88649
113	29282.76019
114	29220.8154
115	29167.59111
116	29107.45392
117	29055.41054
118	29007.86033
119	28966.91246
120	28928.61283
121	28887.0963
122	28810.12691
123	28750.6868
124	28708.81969
125	28650.82668
126	28600.12692
127	28527.51676
128	28490.33594
129	28452.55188
130	28391.96779
131	28360.91965
132	28307.77483
133	28272.04723
134	28258.13822
135	28220.60428
136	28178.26889
137	28147.12614
138	28112.87908
139	28076.81317
140	28059.85573
141	28033.16083
142	27993.97753
143	27955.09622
144	27910.11949
145	27883.2848
146	27869.5382
147	27820.31315
148	27785.03223
149	27749.62632
150	27727.4357
151	27693.92499
152	27657.79085
153	27612.88968
154	27596.54376
155	27531.97459
156	27498.50965
157	27478.27223
158	27447.16622
159	27417.07087
160	27384.19636
161	27334.59841
162	27312.65314
163	27292.06183
164	27274.78659
165	27253.70872
166	27217.36297
167	27184.27455
168	27135.57082
169	27132.5803
170	27110.13842
171	27084.57889
172	27072.95104
173	27052.03697
174	27026.06532
175	27008.50954
176	27003.41338
177	26975.93752
178	26948.14405
179	26916.8081
180	26899.80825
181	26879.9442
182	26851.49279
183	26817.82646
184	26786.12501
185	26768.35033
186	26751.1942
187	26717.29986
188	26686.92893
189	26661.70818
190	26639.30872
191	26606.70849
192	26590.57796
193	26569.64977
194	26541.8438
195	26535.54884
196	26509.81299
197	26488.89954
198	26472.4161
199	26461.18134
200	26439.95586
201	26403.91836
202	26368.46493
203	26343.75357
204	26337.36905
205	26308.34804
206	26302.0683
207	26272.98278
208	26251.83866
209	26218.57776
210	26216.66037
211	26186.97495
212	26177.09554
213	26161.12708
214	26150.51825
215	26149.89057
216	26133.66635
217	26109.29168
218	26096.57263
219	26077.55428
220	26069.93226
221	26054.23322
222	26045.74611
223	26023.82748
224	25998.89908
225	25985.12068
226	25974.29834
227	25954.31821
228	25939.08317
229	25914.10221
230	25888.93385
231	25878.85612
232	25856.59477
233	25843.25619
234	25833.41957
235	25819.56758
236	25800.48252
237	25778.00209
238	25758.44094
239	25739.04475
240	25718.56648
241	25699.88275
242	25690.62008
243	25652.69704
244	25646.64871
245	25646.24826
246	25635.60721
247	25611.52195
248	25598.33661
249	25579.64799
250	25558.91508
251	25537.24468
252	25535.89405
253	25503.32527
254	25486.82023
255	25463.86015
256	25457.79504
257	25418.25759
258	25399.775
259	25384.63358
260	25384.2781
261	25371.75309
262	25369.89328
263	25344.20669
264	25334.07805
265	25314.74414
266	25303.95666
267	25294.89947
268	25279.72238
269	25266.99245
270	25250.74075
271	25236.59839
272	25220.90114
273	25212.71435
274	25202.68683
275	25184.06669
276	25170.71023
277	25151.36639
278	25131.06603
279	25107.78943
280	25089.46175
281	25080.7067
282	25055.06932
283	25037.07858
284	25033.91509
285	25024.84845
286	25013.60701
287	24993.00804
288	24992.2521
289	24980.25928
290	24969.12031
291	24950.56525
292	24934.37758
293	24920.12269
294	24903.34431
295	24880.02212
296	24879.29699
297	24862.18246
298	24844.39783
299	24823.91262
300	24815.09505
301	24799.14405
302	24786.71979
303	24762.78815
304	24761.37094
305	24749.87298
306	24734.02601
307	24715.30897
308	24705.28079
309	24693.87699
310	24692.9602
311	24678.08966
312	24668.35884
313	24648.73153
314	24625.85353
315	24612.17304
316	24602.88163
317	24590.79293
318	24578.75464
319	24578.12845
320	24557.10162
321	24554.95836
322	24545.99266
323	24523.03489
324	24517.78994
325	24505.3906
326	24485.53669
327	24471.14989
328	24456.79969
329	24451.04828
330	24438.97589
331	24416.87817
332	24406.94609
333	24391.00515
334	24383.42469
335	24366.65579
336	24346.96015
337	24335.21364
338	24327.63164
339	24317.13585
340	24316.37126
341	24297.7329
342	24280.58192
343	24268.99156
344	24259.07078
345	24240.63063
346	24239.43147
347	24238.03525
348	24219.53194
349	24205.422
350	24193.46055
351	24180.27122
352	24165.84999
353	24150.35422
354	24146.63119
355	24135.82206
356	24121.80151
357	24110.39963
358	24096.84575
359	24082.7616
360	24065.37155
361	24062.93034
362	24048.06817
363	24038.15427
364	24017.66797
365	24007.63426
366	23998.62154
367	23984.62123
