iter	Passed	Remaining
0	18	37813
1	21	21716
2	23	15450
3	31	15945
4	51	20548
5	68	22689
6	85	24309
7	86	21610
8	89	19753
9	106	21240
10	107	19513
11	124	20616
12	126	19336
13	143	20381
14	149	19826
15	155	19303
16	210	24514
17	277	30550
18	305	31812
19	353	34979
20	356	33622
21	374	33628
22	378	32558
23	397	32721
24	422	33413
25	453	34445
26	485	35456
27	512	36076
28	515	35055
29	535	35181
30	560	35612
31	563	34647
32	568	33887
33	585	33846
34	593	33317
35	602	32857
36	620	32921
37	630	32579
38	640	32219
39	642	31481
40	644	30777
41	657	30667
42	677	30832
43	693	30848
44	710	30879
45	715	30414
46	734	30503
47	742	30210
48	760	30263
49	781	30495
50	826	31594
51	830	31123
52	851	31285
53	854	30786
54	878	31057
55	1185	41154
56	1187	40486
57	1264	42331
58	1631	53685
59	1654	53506
60	1682	53487
61	1699	53138
62	1702	52349
63	1708	51692
64	1730	51510
65	1739	50972
66	1753	50602
67	1758	49961
68	1792	50152
69	1867	51491
70	1918	52110
71	1939	51944
72	1961	51776
73	1966	51173
74	1983	50914
75	1985	50272
76	2003	50037
77	2020	49798
78	2038	49561
79	2056	49353
80	2060	48809
81	2078	48625
82	2081	48070
83	2086	47595
84	2104	47423
85	2123	47263
86	2141	47086
87	2143	46572
88	2160	46388
89	2177	46219
90	2195	46064
91	2214	45925
92	2231	45767
93	2248	45597
94	2268	45479
95	2271	45046
96	2283	44808
97	2291	44466
98	2308	44320
99	2310	43903
100	2328	43777
101	2347	43683
102	2356	43404
103	2381	43414
104	2410	43507
105	2434	43506
106	2461	43553
107	2479	43430
108	2506	43489
109	2529	43458
110	2548	43376
111	2570	43333
112	2597	43371
113	2614	43252
114	2632	43146
115	2649	43034
116	2676	43074
117	2737	43662
118	2741	43335
119	2744	42993
120	2746	42653
121	2833	43615
122	3032	46272
123	3053	46191
124	3075	46136
125	3099	46106
126	3199	47182
127	3296	48204
128	3359	48724
129	3389	48756
130	3410	48664
131	3435	48618
132	3458	48554
133	3483	48511
134	3489	48200
135	3511	48127
136	3543	48184
137	3576	48258
138	3615	48405
139	3647	48458
140	3671	48403
141	3711	48568
142	3865	50200
143	4014	51742
144	4051	51826
145	4118	52294
146	4127	52026
147	4188	52411
148	4224	52485
149	4545	56059
150	4577	56047
151	4736	57587
152	4872	58825
153	4899	58727
154	4910	58456
155	4932	58307
156	4956	58179
157	4981	58073
158	5027	58208
159	5057	58164
160	5082	58053
161	5111	57991
162	5136	57882
163	5144	57597
164	5163	57422
165	5168	57100
166	5212	57210
167	5250	57259
168	5281	57225
169	5284	56885
