iter	R2	RMSE
0	-3.651391279	140753.4049
1	-3.406475485	136997.6608
2	-3.190512613	133598.3359
3	-2.969613686	130029.4108
4	-2.766175364	126653.6592
5	-2.568827067	123290.6734
6	-2.382080643	120021.611
7	-2.210623534	116939.751
8	-2.054610679	114063.1616
9	-1.893916593	111022.3658
10	-1.752518491	108276.0976
11	-1.621188105	105661.4501
12	-1.48957798	102974.6535
13	-1.372332328	100520.6379
14	-1.253231911	97964.88186
15	-1.143213229	95543.28366
16	-1.038963886	93190.62819
17	-0.9391288636	90880.52095
18	-0.844949634	88646.11966
19	-0.761626907	86621.24869
20	-0.6775536621	84528.99065
21	-0.5966098925	82464.47157
22	-0.5203127614	80469.98918
23	-0.451675614	78632.53251
24	-0.38662744	76850.61858
25	-0.3235857995	75083.32937
26	-0.263653373	73363.73829
27	-0.2082684754	71737.98844
28	-0.1568692692	70195.55544
29	-0.1063609836	68646.10469
30	-0.05742371234	67110.73496
31	-0.01265948462	65674.86516
32	0.02857733929	64323.78439
33	0.06849591726	62988.29515
34	0.107398021	61658.98838
35	0.1444404288	60366.02782
36	0.1800700369	59095.69589
37	0.2109701124	57971.45485
38	0.2426847064	56794.44188
39	0.2727137996	55657.04519
40	0.3012876341	54552.7549
41	0.3276849446	53512.33365
42	0.3524446233	52517.72797
43	0.3766789358	51525.63755
44	0.399268996	50583.33925
45	0.4201597296	49696.02581
46	0.4405780019	48813.19588
47	0.4586805462	48016.91898
48	0.4768040095	47206.26891
49	0.4944650076	46402.68208
50	0.5105849766	45656.86848
51	0.5260628806	44929.11197
52	0.5409123809	44219.64613
53	0.5549486651	43538.40616
54	0.5678315516	42903.62627
55	0.5799078075	42299.94255
56	0.5911372594	41730.75481
57	0.6011281882	41217.73715
58	0.6117645977	40664.46286
59	0.6218270706	40134.02264
60	0.6315671761	39613.81143
61	0.6404667682	39132.44574
62	0.6491892913	38654.8412
63	0.6574744205	38195.65635
64	0.6653194045	37755.71846
65	0.6726176442	37341.78784
66	0.6795028113	36947.03438
67	0.686380154	36548.47336
68	0.6924039764	36195.77092
69	0.6987275968	35821.77884
70	0.7043524134	35485.80335
71	0.7094448607	35178.85932
72	0.7145629057	34867.65003
73	0.7192485445	34580.27803
74	0.723809034	34298.26938
75	0.7281588845	34027.10838
76	0.7324617972	33756.73039
77	0.7366534824	33491.24269
78	0.7407107717	33232.24722
79	0.7445260429	32986.84577
80	0.7482468274	32745.75051
81	0.7513567814	32542.8648
82	0.7545516636	32333.11291
83	0.7578462384	32115.38127
84	0.7606274253	31930.42271
