iter	Passed	Remaining
0	16	32607
1	18	18567
2	34	22747
3	35	17880
4	51	20591
5	54	17997
6	57	16376
7	59	14862
8	75	16772
9	77	15513
10	94	17109
11	111	18399
12	121	18610
13	138	19664
14	140	18618
15	157	19499
16	160	18735
17	177	19512
18	184	19206
19	192	19094
20	195	18418
21	212	19101
22	215	18492
23	231	19022
24	247	19536
25	263	19989
26	279	20406
27	295	20812
28	297	20236
29	313	20609
30	331	21047
31	334	20576
32	358	21384
33	380	22011
34	394	22152
35	412	22484
36	427	22684
37	441	22810
38	459	23092
39	460	22588
40	462	22104
41	468	21837
42	487	22196
43	509	22664
44	512	22260
45	535	22745
46	612	25439
47	638	25954
48	663	26434
49	687	26813
50	706	27007
51	717	26895
52	741	27249
53	744	26824
54	760	26894
55	776	26971
56	778	26543
57	780	26118
58	782	25745
59	798	25828
60	816	25966
61	834	26071
62	836	25721
63	839	25387
64	844	25146
65	847	24829
66	864	24953
67	883	25096
68	899	25183
69	916	25268
70	932	25344
71	938	25118
72	955	25224
73	976	25403
74	992	25466
75	1008	25534
76	1018	25441
77	1034	25491
78	1050	25534
79	1065	25575
80	1081	25618
81	1086	25415
82	1103	25479
83	1120	25558
84	1130	25480
85	1154	25687
86	1156	25428
87	1177	25575
88	1199	25764
89	1218	25857
90	1225	25717
91	1248	25890
92	1267	25982
93	1289	26140
94	1297	26017
95	1307	25933
96	1330	26107
97	1354	26279
98	1376	26427
99	1399	26587
100	1420	26700
101	1421	26456
102	1439	26505
103	1457	26572
104	1480	26721
105	1502	26838
106	1522	26927
107	1527	26760
108	1550	26906
109	1573	27041
110	1583	26946
111	1601	26990
112	1630	27229
113	1674	27706
114	1734	28425
115	1756	28535
116	1857	29894
117	1876	29925
118	1894	29952
119	1914	29997
120	1930	29983
121	1935	29792
122	1936	29556
123	1952	29542
124	1968	29525
125	1984	29513
126	2000	29498
127	2016	29496
128	2033	29490
129	2049	29488
130	2065	29474
131	2082	29465
132	2099	29465
133	2115	29458
134	2124	29345
135	2140	29342
136	2157	29342
137	2174	29338
138	2177	29147
139	2193	29144
140	2210	29149
141	2221	29062
142	2237	29055
143	2253	29048
144	2270	29040
145	2286	29034
146	2303	29031
147	2319	29025
148	2335	29018
149	2337	28826
150	2354	28826
151	2370	28824
152	2387	28823
153	2404	28817
154	2421	28818
155	2424	28659
156	2441	28659
157	2458	28660
158	2475	28663
159	2492	28661
160	2508	28654
161	2525	28650
162	2541	28645
163	2557	28635
164	2574	28628
165	2590	28625
166	2607	28618
167	2612	28489
168	2629	28486
169	2645	28480
170	2663	28487
171	2686	28548
172	2710	28626
173	2735	28705
174	2761	28793
175	2784	28855
176	2808	28922
177	2831	28986
178	2860	29099
179	2878	29107
180	2884	28993
181	2947	29437
182	2969	29482
183	2992	29536
184	3065	30073
185	3102	30259
186	3127	30324
187	3146	30322
188	3164	30321
189	3180	30301
190	3196	30278
191	3247	30579
192	3253	30462
193	3281	30543
194	3306	30608
195	3364	30966
196	3390	31035
197	3424	31166
198	3439	31132
199	3457	31120
200	3461	30980
201	3478	30959
202	3494	30938
203	3511	30918
204	3527	30891
205	3543	30862
206	3560	30837
207	3576	30809
208	3592	30782
209	3608	30757
210	3624	30730
211	3627	30596
212	3643	30569
213	3645	30421
214	3661	30398
215	3678	30380
216	3696	30370
217	3706	30295
218	3724	30290
219	3740	30266
220	3756	30241
221	3772	30217
222	3789	30194
223	3798	30118
224	3815	30103
225	3833	30091
226	3839	29991
227	3855	29963
228	3871	29938
229	3872	29802
230	3888	29776
231	3904	29753
232	3919	29727
233	3935	29703
234	3958	29731
235	3975	29714
236	4029	29976
237	4050	29990
238	4069	29985
239	4085	29959
240	4087	29836
241	4103	29813
242	4119	29788
243	4121	29663
244	4138	29643
245	4154	29623
246	4171	29604
247	4187	29585
248	4205	29570
249	4221	29551
250	4224	29434
251	4241	29418
252	4257	29399
253	4275	29388
254	4291	29369
255	4308	29353
256	4325	29335
257	4341	29315
258	4343	29193
