iter	Passed	Remaining
0	16	33742
1	19	19754
2	21	14114
3	32	16457
4	56	22441
5	82	27343
6	90	25844
7	98	24458
8	104	23128
9	125	24953
10	128	23257
11	162	26879
12	171	26266
13	201	28524
14	204	27065
15	208	25858
16	225	26309
17	242	26648
18	259	27083
19	276	27354
20	280	26472
21	297	26724
22	299	25768
23	315	26010
24	332	26231
25	353	26859
26	414	30256
27	437	30782
28	439	29850
29	691	45402
30	865	54997
31	869	53456
32	875	52173
33	894	51701
34	903	50705
35	913	49814
36	930	49387
37	948	48983
38	962	48420
39	964	47270
40	966	46174
41	972	45348
42	993	45203
43	1018	45287
44	1044	45383
45	1068	45383
46	1114	46299
47	1158	47131
48	1193	47523
49	1217	47490
50	1241	47431
51	1275	47777
52	1289	47371
53	1295	46668
54	1326	46908
55	1402	48684
56	1408	48008
57	1415	47378
58	1424	46867
59	1516	49043
60	1546	49149
61	1576	49274
62	1582	48655
63	1590	48124
64	1599	47606
65	1634	47889
66	1708	49297
67	1755	49872
68	1786	49992
69	1819	50158
70	1884	51202
71	1942	52004
72	2217	58537
73	2241	58328
74	2259	58004
75	2281	57768
76	2284	57040
77	2304	56775
78	2331	56697
79	2357	56588
80	2382	56437
81	2389	55899
82	2415	55785
83	2419	55198
84	2434	54853
85	2461	54778
86	2469	54298
87	2493	54177
88	2512	53958
89	2528	53664
90	2544	53385
91	2561	53119
92	2578	52877
93	2594	52606
94	2599	52129
95	2604	51661
96	2621	51435
97	2637	51196
98	2653	50958
99	2673	50803
100	2690	50581
101	2691	50088
102	2707	49871
103	2724	49663
104	2740	49454
105	2757	49270
106	2775	49110
107	2791	48910
108	2807	48711
109	2823	48517
110	2839	48329
111	2855	48143
112	2872	47973
113	2891	47831
114	2910	47710
115	2938	47717
116	2960	47642
117	2981	47548
118	3005	47511
119	3032	47515
120	3064	47588
121	3087	47520
122	3103	47357
123	3105	46982
124	3106	46602
125	3123	46451
126	3139	46304
127	3156	46170
128	3173	46028
129	3190	45899
130	3206	45753
131	3223	45613
132	3224	45269
133	3249	45248
134	3302	45619
135	3503	48021
136	3734	50779
137	3752	50633
138	3763	50392
139	3784	50277
140	3786	49921
141	3804	49780
142	3822	49641
143	3841	49509
144	3929	50274
145	3940	50041
146	3971	50067
147	4053	50724
148	4064	50487
149	4095	50516
150	4135	50640
151	4170	50700
152	4191	50602
153	4203	50388
154	4227	50320
155	4251	50256
156	4274	50183
157	4278	49883
158	4301	49806
159	4324	49730
160	4347	49655
161	4370	49584
162	4384	49417
163	4408	49350
164	4422	49187
165	4447	49132
166	4478	49156
167	4504	49117
168	4531	49096
169	4558	49067
170	4571	48901
171	4593	48817
172	4624	48835
173	4647	48768
174	4663	48635
175	4682	48525
176	4686	48271
177	4695	48060
178	4711	47926
179	4720	47727
180	4740	47641
181	4779	47741
182	4880	48462
183	5103	50366
184	5122	50258
185	5144	50172
186	5163	50060
187	5180	49926
188	5205	49878
189	5240	49919
190	5324	50429
191	5356	50443
192	5417	50725
193	5450	50742
194	5487	50791
195	5513	50749
196	5531	50621
197	5547	50489
198	5563	50349
199	5578	50209
200	5594	50073
201	5610	49939
202	5627	49817
203	5649	49733
204	5654	49511
205	5670	49383
206	5687	49263
207	5704	49142
208	5719	49014
209	5723	48787
210	5740	48668
211	5744	48450
212	5761	48339
213	5778	48224
214	5780	47990
215	5798	47895
216	5801	47671
217	5827	47633
218	5855	47616
219	5877	47551
220	5896	47462
221	5921	47423
222	5949	47407
223	5970	47333
224	5986	47224
225	5987	47002
226	6003	46894
227	6019	46786
228	6036	46681
229	6038	46473
230	6056	46379
231	6072	46279
232	6212	47113
233	6266	47292
234	6381	47928
235	6574	49143
236	6592	49040
237	6610	48941
238	6628	48841
239	6650	48768
240	6670	48682
241	6692	48616
242	6693	48397
243	6717	48345
244	6743	48308
245	6767	48254
246	6790	48193
247	6795	48006
248	6820	47964
249	6846	47927
250	6866	47846
251	6890	47797
252	6904	47674
253	6931	47647
254	7002	47915
255	7034	47919
256	7134	48384
257	7166	48386
258	7222	48552
259	7248	48508
260	7283	48527
261	7312	48508
262	7342	48493
263	7370	48468
264	7380	48324
265	7407	48285
266	7433	48246
267	7456	48191
268	7467	48050
269	7483	47949
270	7499	47848
271	7502	47661
272	7519	47566
273	7535	47470
274	7552	47376
275	7557	47203
276	7596	47253
277	7638	47316
278	7667	47298
279	8058	49499
280	8077	49414
281	8100	49348
282	8117	49247
283	8136	49164
284	8157	49086
285	8179	49018
286	8206	48982
287	8232	48938
288	8256	48880
289	8280	48824
290	8283	48648
291	8307	48591
292	8330	48531
293	8346	48432
294	8363	48335
295	8364	48151
296	8380	48052
297	8397	47963
298	8417	47886
299	8433	47790
300	8449	47695
301	8466	47600
302	8482	47506
303	8498	47412
304	8515	47326
305	8532	47236
306	8549	47145
307	8565	47054
308	8581	46964
309	8598	46875
310	8615	46788
311	8632	46705
312	8648	46616
313	8666	46535
314	8684	46454
315	8706	46398
316	8729	46347
317	8749	46280
318	8773	46234
319	8797	46187
320	8819	46129
321	8843	46084
322	8868	46042
323	8892	45998
324	8908	45911
325	8925	45830
326	8943	45755
327	8960	45674
328	8976	45590
329	8978	45437
330	8995	45355
331	9011	45276
332	9028	45196
333	9045	45120
334	9075	45105
335	9125	45193
336	9249	45644
337	9429	46364
338	9446	46283
339	9468	46229
340	9489	46165
341	9512	46117
342	9537	46074
343	9561	46030
344	9633	46212
345	9716	46447
346	9748	46440
347	9812	46581
348	9864	46666
