iter	RMSE
0	141408.2138
1	137602.4888
2	133991.9596
3	130465.2094
4	127184.8283
5	124041.1356
6	120809.7935
7	117623.9668
8	114576.1617
9	111626.9294
10	108905.2961
11	106165.528
12	103425.6479
13	100924.6696
14	98339.7182
15	95828.12406
16	93497.01555
17	91155.21433
18	88917.90038
19	86780.18267
20	84624.00149
21	82564.72119
22	80579.83731
23	78735.62824
24	76993.62564
25	75226.47087
26	73503.22678
27	71960.87323
28	70415.87239
29	68860.41025
30	67330.1067
31	65855.53704
32	64434.9929
33	63066.1289
34	61729.52734
35	60412.01002
36	59158.34902
37	58025.5191
38	56855.72656
39	55739.68012
40	54655.40207
41	53635.50537
42	52629.63055
43	51657.13036
44	50736.82154
45	49837.28174
46	49005.88347
47	48181.84613
48	47385.48046
49	46623.05775
50	45868.52291
51	45159.20307
52	44498.27699
53	43839.3175
54	43221.0531
55	42630.74816
56	42076.04312
57	41579.55238
58	41047.19169
59	40528.27084
60	40040.69618
61	39571.35617
62	39111.45725
63	38648.48341
64	38221.52285
65	37804.92849
66	37391.28303
67	37009.84186
68	36662.08677
69	36307.61224
70	35974.51306
71	35661.72628
72	35349.22966
73	35060.2402
74	34793.12293
75	34521.46643
76	34282.74782
77	34028.46768
78	33795.8848
79	33573.77367
80	33358.72365
81	33158.41051
82	32953.65904
83	32776.99483
84	32591.85788
85	32411.26796
86	32253.20131
87	32075.02839
88	31927.34645
89	31779.18689
90	31650.14366
91	31519.12384
92	31379.00337
93	31244.10281
94	31129.12766
95	31019.80519
96	30908.30291
97	30794.63149
98	30692.24365
99	30579.84364
100	30480.98092
101	30412.39213
102	30309.91419
103	30187.38906
104	30101.23923
105	29997.94145
106	29915.69884
107	29836.41963
108	29759.5709
109	29681.89384
110	29604.75225
111	29543.37277
112	29476.05451
113	29412.33276
114	29336.6081
115	29276.81258
116	29201.21708
117	29143.38128
118	29079.77351
119	29010.93706
120	28956.54426
121	28882.54289
122	28804.34288
123	28776.71233
124	28754.1537
125	28707.61279
126	28669.59788
127	28625.27443
128	28556.42057
129	28515.72098
130	28457.22258
131	28426.69183
132	28411.97526
133	28375.35001
134	28325.23157
135	28287.62593
136	28250.39751
137	28220.31492
138	28200.16083
139	28162.60005
140	28150.4577
141	28108.07237
142	28079.09398
143	28047.02012
144	27984.40964
145	27973.28282
146	27941.7386
147	27921.17996
148	27908.80557
149	27880.43099
150	27854.35726
151	27819.33498
152	27782.95698
153	27762.68932
154	27736.03921
155	27715.98472
156	27674.8692
157	27666.76329
158	27622.35073
159	27568.46799
160	27516.22778
161	27503.54664
162	27485.18563
163	27452.23427
164	27429.4992
165	27407.44429
166	27372.51706
167	27346.76523
168	27330.36102
169	27315.01491
170	27287.96206
171	27269.30621
172	27239.99976
173	27192.98126
174	27162.52436
175	27137.22339
176	27132.82673
177	27117.0656
178	27090.73908
179	27073.19778
180	27041.68455
181	27012.80419
182	26981.14658
183	26964.42578
184	26941.73334
185	26908.18782
186	26879.65521
187	26859.87745
188	26843.18913
189	26817.08056
190	26805.42713
191	26782.95901
192	26769.5899
193	26751.6879
194	26734.35876
195	26712.10981
196	26692.16361
197	26679.47532
198	26661.59836
199	26625.08991
200	26601.22109
201	26583.35431
202	26549.85405
203	26524.9351
204	26517.44062
205	26501.3239
206	26489.81232
207	26467.9183
208	26448.8619
209	26440.94182
210	26415.03489
211	26413.64038
212	26391.85726
213	26364.12381
214	26357.60104
215	26330.88628
216	26328.39337
217	26309.33483
218	26281.78558
219	26260.24146
220	26250.25514
221	26228.49571
222	26209.72459
223	26190.2144
224	26178.118
225	26176.14554
226	26166.45402
227	26141.46228
228	26129.00377
229	26122.50199
230	26107.12283
231	26088.74427
232	26063.02637
