iter	Passed	Remaining
0	17	35852
1	20	20591
2	22	14649
3	33	16628
4	57	22941
5	81	27194
6	91	25922
7	98	24599
8	102	22769
9	119	23869
10	126	22827
11	131	21794
12	134	20625
13	151	21529
14	153	20351
15	174	21665
16	183	21402
17	208	22964
18	213	22305
19	223	22101
20	224	21189
21	240	21640
22	243	20903
23	259	21372
24	277	21906
25	300	22838
26	325	23806
27	346	24438
28	348	23717
29	368	24226
30	391	24874
31	397	24465
32	408	24356
33	434	25103
34	450	25280
35	471	25719
36	661	35079
37	676	34952
38	690	34723
39	692	33928
40	694	33168
41	701	32716
42	870	39612
43	889	39558
44	914	39726
45	932	39593
46	990	41170
47	1034	42071
48	1061	42278
49	1082	42199
50	1097	41959
51	1101	41256
52	1117	41035
53	1119	40345
54	1135	40158
55	1152	39993
56	1153	39328
57	1155	38675
58	1157	38085
59	1178	38111
60	1201	38195
61	1219	38131
62	1222	37575
63	1226	37098
64	1231	36675
65	1243	36430
66	1268	36587
67	1315	37380
68	1346	37675
69	1350	37243
70	1367	37146
71	1511	40482
72	1557	41109
73	1618	42127
74	1636	42008
75	1660	42041
76	1683	42040
77	1706	42061
78	1729	42044
79	1745	41886
80	1746	41386
81	1763	41245
82	1796	41499
83	1799	41041
84	1815	40900
85	1825	40629
86	1841	40498
87	1845	40089
88	1877	40305
89	1998	42412
90	2063	43288
91	2082	43191
92	2100	43080
93	2125	43103
94	2151	43142
95	2175	43141
96	2179	42768
97	2185	42420
98	2210	42448
99	2217	42136
100	2235	42036
101	2252	41913
102	2255	41547
103	2273	41443
104	2290	41334
105	2307	41229
106	2325	41134
107	2341	41027
108	2358	40921
109	2362	40590
110	2378	40472
111	2387	40241
112	2402	40127
113	2418	40019
114	2436	39931
115	2452	39827
116	2472	39789
117	2497	39835
118	2514	39741
119	2531	39659
120	2549	39590
121	2566	39503
122	2583	39418
123	2599	39331
124	2601	39028
125	2620	38978
126	2645	39022
127	2671	39073
128	2695	39094
129	2719	39117
130	2737	39060
131	2745	38850
132	2747	38574
133	2763	38489
134	2780	38409
135	2796	38330
136	2813	38255
137	2829	38179
138	2833	37930
139	2840	37742
140	2857	37676
141	2873	37604
142	2889	37529
143	2906	37456
144	2909	37221
145	2925	37155
146	2942	37091
147	2959	37037
148	2975	36968
149	2991	36899
150	3008	36833
151	3024	36773
152	3026	36534
153	3036	36404
154	3059	36413
155	3288	38870
156	3381	39691
157	3406	39711
158	3431	39728
159	3456	39751
160	3483	39789
161	3508	39810
162	3572	40256
163	3607	40387
164	3614	40193
165	3632	40131
166	3650	40064
167	3671	40031
168	3695	40033
169	3718	40027
170	3741	40014
171	3764	40004
172	3769	39807
173	3784	39716
174	3807	39709
175	3831	39711
176	3853	39688
177	3872	39640
178	3877	39446
179	3901	39444
180	3992	40123
181	4103	40992
182	4138	41091
183	4146	40925
184	4182	41037
185	4202	40983
186	4219	40907
187	4222	40700
188	4239	40627
189	4256	40549
190	4274	40481
191	4290	40404
192	4309	40349
193	4326	40277
194	4342	40196
195	4364	40173
196	4372	40016
197	4406	40106
198	4565	41315
199	4585	41271
200	4603	41198
201	4628	41196
202	4636	41042
203	4662	41050
204	4666	40859
205	4691	40856
206	4714	40836
207	4733	40780
208	4751	40717
209	4767	40639
210	4784	40563
211	4800	40490
212	4818	40426
213	4840	40400
214	4862	40370
215	4871	40238
216	4887	40161
217	4889	39967
218	4905	39892
219	4921	39818
220	4922	39628
221	4939	39558
222	4941	39380
223	4943	39195
224	4960	39136
225	4976	39066
226	4993	38999
227	5009	38931
228	5025	38865
229	5028	38695
230	5047	38654
231	5067	38616
232	5070	38455
233	5086	38389
234	5102	38326
235	5120	38271
236	5131	38173
237	5156	38177
238	5179	38166
239	5204	38166
240	5226	38150
241	5244	38095
242	5254	37989
243	5270	37933
244	5302	37983
245	5318	37918
246	5320	37758
247	5336	37699
248	5351	37634
249	5352	37470
250	5370	37419
251	5372	37264
252	5388	37208
253	5405	37155
254	5410	37027
255	5427	36972
256	5454	36995
257	5471	36942
258	5490	36907
259	5506	36851
260	5523	36799
261	5539	36748
262	5555	36693
263	5572	36644
264	5614	36756
265	5692	37111
266	5776	37492
267	5799	37477
268	5820	37454
269	5844	37449
270	5861	37396
271	5890	37421
272	5921	37460
273	5986	37708
274	6022	37775
275	6085	38010
276	6091	37891
277	6103	37809
278	6134	37841
279	6160	37841
280	6219	38046
281	6228	37944
282	6260	37981
283	6290	38007
284	6319	38027
285	6373	38199
286	6400	38202
287	6431	38230
288	6457	38231
289	6486	38249
290	6508	38223
291	6525	38167
292	6542	38114
293	6560	38069
294	6580	38035
295	6596	37974
296	6613	37923
297	6635	37897
298	6651	37841
299	6668	37788
300	6685	37734
301	6701	37677
302	6718	37625
303	6734	37571
304	6750	37515
305	6752	37381
306	6770	37336
307	6800	37357
308	6828	37369
309	7115	38791
310	7138	38766
311	7157	38722
312	7182	38714
313	7207	38698
314	7235	38702
315	7259	38684
316	7281	38658
317	7297	38597
318	7312	38536
319	7328	38476
320	7344	38415
321	7360	38359
322	7377	38303
323	7394	38251
324	7410	38193
325	7426	38135
326	7442	38079
327	7459	38025
328	7476	37971
329	7493	37923
330	7509	37867
331	7526	37811
332	7543	37760
333	7558	37703
334	7574	37648
335	7591	37595
336	7608	37547
337	7624	37491
338	7640	37436
339	7656	37382
340	7673	37333
341	7692	37293
342	7717	37280
343	7741	37264
344	7765	37253
345	7790	37241
346	7811	37210
