iter	Passed	Remaining
0	19	38744
1	21	21735
2	38	25688
3	40	20149
4	56	22719
5	58	19403
6	75	21604
7	91	22793
8	94	20834
9	110	22056
10	114	20662
11	131	21773
12	140	21423
13	158	22510
14	160	21282
15	178	22131
16	181	21226
17	197	21779
18	203	21189
19	212	21058
20	214	20221
21	230	20723
22	233	20039
23	249	20555
24	266	21060
25	282	21476
26	299	21884
27	316	22300
28	318	21661
29	334	21985
30	351	22308
31	352	21689
32	370	22062
33	388	22489
34	404	22726
35	433	23650
36	444	23574
37	454	23468
38	465	23386
39	474	23267
40	476	22778
41	482	22514
42	599	27287
43	629	27976
44	657	28578
45	680	28912
46	705	29308
47	727	29579
48	750	29885
49	773	30156
50	795	30403
51	797	29865
52	813	29886
53	816	29410
54	833	29465
55	850	29509
56	852	29055
57	853	28586
58	856	28171
59	872	28206
60	888	28246
61	904	28274
62	906	27873
63	909	27498
64	915	27244
65	924	27078
66	939	27115
67	943	26799
68	959	26856
69	960	26492
70	966	26261
71	982	26304
72	998	26348
73	1015	26430
74	1037	26632
75	1054	26690
76	1070	26724
77	1086	26772
78	1103	26824
79	1108	26604
80	1109	26295
81	1126	26356
82	1129	26094
83	1135	25889
84	1154	26001
85	1174	26146
86	1197	26328
87	1202	26133
88	1227	26355
89	1233	26169
90	1259	26413
91	1281	26569
92	1300	26658
93	1308	26532
94	1311	26301
95	1332	26434
96	1351	26523
97	1359	26394
98	1382	26554
99	1388	26386
100	1409	26503
101	1412	26287
102	1430	26346
103	1437	26209
104	1450	26174
105	1469	26255
106	1487	26324
107	1510	26466
108	1532	26584
109	1555	26729
110	1578	26858
111	1582	26676
112	1612	26930
113	1732	28657
114	1845	30243
115	1865	30296
116	1885	30352
117	1924	30692
118	1940	30675
119	1956	30656
120	1972	30634
121	1990	30639
122	2008	30642
123	2024	30627
124	2041	30615
125	2057	30595
126	2059	30369
127	2075	30353
128	2092	30347
129	2110	30355
130	2126	30338
131	2142	30320
132	2158	30302
133	2174	30281
134	2191	30269
135	2207	30250
136	2208	30036
137	2224	30016
138	2240	29997
139	2256	29983
140	2272	29965
141	2289	29956
142	2292	29774
143	2308	29757
144	2324	29741
145	2340	29722
146	2356	29705
147	2372	29686
148	2374	29502
149	2390	29485
150	2392	29291
151	2408	29283
152	2424	29271
153	2433	29169
154	2450	29171
155	2469	29190
156	2485	29179
157	2501	29166
158	2504	28997
159	2507	28839
160	2524	28831
161	2540	28820
162	2556	28807
163	2572	28793
164	2573	28619
165	2590	28615
166	2606	28612
167	2616	28530
168	2631	28515
169	2635	28369
170	2651	28356
171	2668	28355
172	2691	28423
173	2692	28260
174	2711	28275
175	2731	28312
176	2733	28158
177	2753	28180
178	2773	28210
179	2792	28233
180	2811	28259
181	2830	28273
182	2865	28446
183	2961	29231
184	2983	29272
185	3004	29301
186	3036	29441
187	3067	29560
188	3145	30144
189	3173	30234
190	3209	30393
191	3237	30489
192	3254	30466
193	3255	30308
194	3272	30290
195	3288	30272
196	3306	30262
197	3322	30240
198	3338	30218
199	3341	30074
200	3358	30056
201	3374	30034
202	3376	29892
203	3392	29869
204	3398	29761
205	3414	29736
206	3430	29712
207	3446	29693
208	3462	29674
209	3468	29561
210	3473	29448
211	3474	29303
212	3490	29283
213	3506	29266
214	3523	29254
215	3540	29240
216	3556	29225
217	3576	29233
218	3597	29256
219	3601	29135
220	3617	29120
221	3633	29104
222	3650	29090
223	3666	29071
224	3682	29051
225	3698	29034
226	3715	29021
227	3732	29006
228	3748	28988
229	3764	28971
230	3780	28951
231	3784	28837
232	3800	28823
233	3817	28809
234	3818	28681
235	3851	28787
236	3937	29290
237	3939	29164
238	3959	29171
239	3980	29187
240	3986	29095
241	4009	29125
242	4025	29107
243	4042	29089
244	4059	29079
245	4076	29064
246	4081	28968
247	4091	28907
248	4108	28892
249	4125	28880
250	4143	28869
251	4148	28775
252	4164	28759
253	4169	28658
254	4185	28639
255	4201	28621
256	4217	28604
257	4234	28587
258	4250	28574
259	4266	28555
260	4284	28546
261	4301	28531
262	4316	28510
263	4332	28492
264	4349	28475
265	4365	28457
266	4381	28439
267	4398	28423
268	4414	28406
269	4430	28391
270	4434	28294
271	4440	28207
272	4442	28101
273	4458	28086
274	4474	28070
275	4479	27979
276	4495	27965
277	4498	27866
278	4514	27847
279	4530	27829
280	4546	27811
281	4562	27793
282	4578	27780
283	4602	27807
284	4640	27921
285	4660	27927
286	4684	27959
287	4708	27989
288	4731	28014
289	4753	28029
290	4776	28051
291	4799	28071
292	4822	28096
293	4845	28118
294	4867	28132
295	4889	28148
296	4912	28166
297	4934	28185
298	4976	28310
299	4996	28312
300	5002	28234
301	5021	28233
302	5131	28737
303	5152	28744
304	5229	29060
305	5261	29125
306	5290	29175
307	5344	29360
308	5391	29506
309	5417	29535
310	5434	29513
311	5435	29409
312	5451	29383
313	5466	29354
314	5482	29327
315	5498	29301
316	5514	29277
317	5530	29254
318	5546	29229
319	5563	29206
320	5579	29184
321	5595	29161
322	5612	29141
323	5629	29119
324	5645	29094
325	5661	29073
326	5678	29052
327	5695	29031
328	5711	29007
329	5727	28985
330	5743	28959
331	5759	28937
332	5776	28919
333	5793	28898
334	5809	28875
335	5826	28854
336	5842	28829
337	5858	28806
338	5875	28786
339	5892	28768
340	5908	28745
341	5924	28723
342	5940	28698
343	5956	28675
344	5973	28654
345	5990	28635
346	6006	28612
347	6022	28590
348	6038	28564
349	6055	28546
350	6071	28522
351	6088	28502
352	6104	28482
353	6121	28462
354	6144	28470
355	6218	28715
356	6270	28856
357	6290	28852
358	6314	28862
359	6382	29078
360	6416	29133
361	6439	29140
362	6460	29135
363	6483	29139
364	6506	29147
365	6529	29152
366	6551	29152
367	6574	29157
368	6596	29155
369	6618	29157
370	6641	29163
371	6664	29168
372	6670	29097
373	6694	29103
374	6717	29109
375	6739	29108
376	6762	29112
377	6784	29113
378	6807	29117
379	6830	29118
380	6853	29121
381	6874	29117
382	6892	29098
383	6909	29078
384	6967	29227
385	6996	29256
386	7059	29424
387	7086	29440
388	7110	29449
389	7157	29547
390	7179	29546
391	7196	29520
392	7212	29493
393	7229	29467
394	7246	29446
395	7274	29463
396	7434	30020
397	7507	30218
398	7531	30221
399	7555	30220
400	7571	30192
401	7587	30162
402	7603	30130
403	7619	30099
404	7635	30071
405	7652	30042
406	7668	30014
407	7684	29986
408	7701	29958
409	7717	29927
410	7733	29897
411	7749	29868
412	7766	29843
413	7784	29821
414	7802	29798
415	7818	29772
416	7834	29741
417	7850	29710
418	7866	29681
419	7882	29652
420	7898	29624
421	7914	29595
422	7931	29567
423	7947	29541
424	7963	29513
425	7980	29485
426	7997	29459
427	8012	29430
428	8029	29405
429	8046	29377
430	8062	29350
431	8079	29324
432	8095	29297
433	8111	29269
434	8128	29243
435	8144	29215
436	8161	29189
437	8177	29161
438	8193	29136
439	8209	29107
440	8228	29088
441	8244	29062
442	8260	29033
443	8277	29007
444	8292	28978
445	8308	28949
446	8324	28922
447	8341	28896
448	8357	28870
449	8374	28844
450	8390	28818
451	8406	28790
452	8422	28761
453	8438	28734
454	8454	28708
455	8470	28681
456	8487	28656
457	8519	28682
458	8620	28940
459	8644	28939
460	8662	28919
461	8681	28900
462	8698	28875
463	8714	28847
464	8730	28820
465	8747	28795
466	8764	28769
467	8780	28742
468	8797	28717
469	8818	28707
470	8835	28683
471	8859	28681
472	8880	28668
473	8901	28658
474	8920	28639
475	8940	28623
476	8963	28618
477	8984	28607
478	9007	28600
479	9030	28596
480	9053	28590
481	9076	28584
482	9099	28578
483	9120	28567
484	9143	28561
485	9158	28530
486	9181	28526
487	9204	28520
488	9227	28512
489	9247	28496
490	9261	28464
491	9284	28458
492	9300	28430
493	9317	28404
494	9333	28377
495	9367	28405
496	9406	28446
497	9433	28453
498	9454	28439
499	9510	28531
500	9542	28551
501	9560	28529
502	9576	28501
503	9592	28471
504	9613	28459
505	9721	28701
506	9739	28681
507	9756	28656
508	9777	28642
509	9847	28769
510	9896	28837
511	9913	28809
512	9929	28781
513	9945	28753
514	9961	28724
515	9977	28695
516	9993	28667
517	10009	28638
518	10026	28610
519	10043	28584
520	10059	28555
521	10075	28528
522	10091	28500
523	10108	28473
524	10124	28446
525	10141	28418
526	10157	28392
527	10174	28365
528	10190	28338
529	10207	28311
530	10224	28284
531	10239	28255
532	10255	28227
533	10272	28200
534	10277	28142
535	10295	28121
536	10312	28094
537	10328	28068
538	10345	28043
539	10361	28015
540	10378	27989
541	10394	27960
542	10410	27933
543	10427	27909
544	10443	27882
545	10460	27856
546	10477	27830
547	10492	27801
548	10509	27775
549	10526	27750
550	10542	27725
551	10559	27698
552	10575	27672
553	10591	27646
554	10608	27619
555	10624	27593
556	10642	27570
557	10658	27544
558	10674	27516
559	10690	27489
560	10707	27464
561	10731	27458
562	10743	27422
563	10805	27510
564	10884	27644
565	10904	27626
566	10970	27725
567	11006	27748
568	11105	27930
569	11134	27935
570	11165	27943
571	11230	28037
572	11254	28027
573	11277	28017
574	11300	28006
575	11322	27990
576	11337	27961
577	11354	27933
578	11371	27908
579	11387	27880
580	11403	27851
581	11419	27823
582	11435	27794
583	11451	27766
584	11467	27738
585	11483	27709
586	11499	27681
587	11515	27653
588	11531	27624
589	11547	27596
590	11563	27568
591	11579	27540
592	11596	27513
593	11612	27486
594	11628	27459
595	11645	27432
596	11661	27405
597	11678	27379
598	11694	27352
599	11711	27325
600	11727	27298
601	11743	27272
602	11759	27244
603	11776	27218
604	11793	27192
605	11809	27165
606	11825	27139
