iter	R2	RMSE
0	-3.665574087	140598.8312
1	-3.419966587	136848.0643
2	-3.204215798	133466.3136
3	-2.982628585	129901.4709
4	-2.779456732	126544.6691
5	-2.588053016	123298.7266
6	-2.402083787	120060.9203
7	-2.240497088	117175.0057
8	-2.074876763	114141.3547
9	-1.922717179	111281.3951
10	-1.776246187	108457.1413
11	-1.641652686	105795.4583
12	-1.50953296	103115.8954
13	-1.389854941	100627.0952
14	-1.272906419	98134.09981
15	-1.166966838	95819.80837
16	-1.061455783	93457.93425
17	-0.9611393759	91155.60865
18	-0.8656355521	88908.35401
19	-0.7780610725	86796.55785
20	-0.6939040218	84717.5846
21	-0.613050139	82670.98248
22	-0.5363629912	80681.89387
23	-0.4673894482	78850.02972
24	-0.4021911715	77078.41574
25	-0.3389004026	75318.78429
26	-0.2785291455	73601.12995
27	-0.2229091658	71982.39054
28	-0.1711741118	70443.33319
29	-0.1203004371	68896.38232
30	-0.07120137825	67369.71759
31	-0.02610878795	65936.49674
32	0.01533503958	64591.20806
33	0.05549042077	63260.46048
34	0.09466140284	61934.792
35	0.1323812996	60630.84452
36	0.1682404827	59364.66958
37	0.1998992901	58223.92695
38	0.2317354845	57053.79702
39	0.261729675	55928.97647
40	0.2904770795	54829.25946
41	0.316933795	53797.31056
42	0.3418242279	52808.0476
43	0.3661300052	51823.80095
44	0.3884269842	50904.16558
45	0.4085391446	50060.15258
46	0.4295962314	49160.9604
47	0.4474414454	48385.84378
48	0.4650056432	47610.61221
49	0.4807175253	46906.28072
50	0.4970056625	46164.77396
51	0.5127504877	45436.50021
52	0.5278135468	44728.66406
53	0.5421895835	44042.50379
54	0.5549319921	43425.25269
55	0.5671221203	42826.42892
56	0.5784771989	42260.99337
57	0.5886235034	41749.27163
58	0.5994565264	41195.90001
59	0.6096274831	40669.49529
60	0.619044562	40175.95918
61	0.628333764	39683.11177
62	0.6371418812	39210.06731
63	0.6456824358	38745.87797
64	0.6538752067	38295.30389
65	0.6617215986	37858.75259
66	0.6681571495	37496.9029
67	0.6748212472	37118.48533
68	0.6814175674	36740.0783
69	0.6865710521	36441.7075
70	0.6923660082	36103.25226
71	0.6977072059	35788.46429
72	0.7027443641	35489.03694
73	0.7076944234	35192.30525
74	0.7126684663	34891.59405
75	0.7174885008	34597.70014
76	0.7217277002	34337.14276
77	0.7259597229	34075.03922
78	0.7302612591	33806.54811
79	0.7336533765	33593.30734
80	0.7367005442	33400.5906
81	0.7402100178	33177.24849
82	0.7432983439	32979.45699
83	0.7462633789	32788.43903
84	0.7492832341	32592.73863
85	0.7520315497	32413.60828
86	0.7548575102	32228.37897
87	0.7570379268	32084.7314
88	0.7592058032	31941.26953
89	0.7612416524	31805.95555
90	0.7635107413	31654.45754
91	0.7655933671	31514.76796
92	0.7677815416	31367.32865
93	0.769787367	31231.56459
94	0.7710848586	31143.42879
95	0.7731146388	31005.04767
96	0.7749076623	30882.29173
97	0.7764226646	30778.18838
98	0.778003661	30669.17345
99	0.7793773759	30574.13567
100	0.7807619584	30478.04616
101	0.7820365388	30389.32217
102	0.7835639218	30282.65811
103	0.7848801008	30190.4411
104	0.7861509035	30101.13526
105	0.7875342028	30003.62157
106	0.7889527269	29903.2945
107	0.7902158272	29813.67585
108	0.7914779254	29723.85842
109	0.7925922202	29644.33324
110	0.7935218008	29577.8272
111	0.7942959672	29522.32579
112	0.7957517147	29417.67699
113	0.7968965974	29335.11297
114	0.7981510521	29244.37946
115	0.7989704425	29184.96144
116	0.7998504006	29121.01634
117	0.8008383052	29049.05923
118	0.8016089679	28992.80161
