iter	RMSE
0	141563.1874
1	137753.3436
2	134131.6746
3	130575.6727
4	127293.503
5	124153.5189
6	120940.1187
7	117752.5137
8	114698.2085
9	111737.9244
10	108809.9183
11	105998.3397
12	103273.6107
13	100798.0623
14	98231.7567
15	95854.43523
16	93476.65312
17	91153.64756
18	88922.217
19	86874.31113
20	84783.20263
21	82728.96322
22	80731.42973
23	78879.99052
24	77123.42877
25	75361.39626
26	73633.16186
27	72002.2204
28	70457.98017
29	68910.35174
30	67372.27355
31	65890.66958
32	64461.01389
33	63088.40476
34	61744.34612
35	60434.66449
36	59167.86202
37	58018.07088
38	56847.84576
39	55728.36112
40	54642.92485
41	53617.09742
42	52622.08605
43	51636.4877
44	50698.39833
45	49800.01386
46	48967.38937
47	48128.51542
48	47333.44867
49	46573.30957
50	45818.60658
51	45102.69009
52	44413.55159
53	43742.08032
54	43116.29947
55	42526.65311
56	41974.228
57	41411.87754
58	40880.87702
59	40332.59041
60	39853.59705
61	39356.55211
62	38895.33397
63	38467.22534
64	38046.30123
65	37655.78515
66	37264.38035
67	36887.79221
68	36538.67826
69	36211.45207
70	35899.95363
71	35602.36235
72	35301.17401
73	35017.71614
74	34789.20593
75	34533.28668
76	34257.72967
77	34005.50469
78	33760.5879
79	33521.70688
80	33304.76078
81	33089.91034
82	32910.56133
83	32728.13235
84	32539.57821
85	32354.27256
86	32171.84825
87	31983.98292
88	31827.86303
89	31664.45112
90	31522.04784
91	31382.08678
92	31240.94532
93	31113.79949
94	30982.83981
95	30883.02199
96	30764.85961
97	30657.00424
98	30524.1666
99	30419.00636
100	30326.58459
101	30234.4949
102	30139.77155
103	30039.74129
104	29945.08444
105	29848.4125
106	29772.50499
107	29690.80205
108	29614.08336
109	29538.20688
110	29463.58257
111	29402.33766
112	29336.49781
113	29281.00816
114	29211.0846
115	29151.48081
116	29102.01257
117	29032.47361
118	28962.01108
119	28874.37409
120	28841.33758
121	28775.90196
122	28720.04204
123	28666.59338
124	28616.16608
125	28594.03916
126	28556.26593
127	28506.96909
128	28449.14865
129	28406.77214
130	28358.2757
131	28330.67973
132	28271.28742
133	28225.12414
134	28185.44809
135	28156.01989
136	28121.48369
137	28092.85866
138	28073.30281
139	28037.09177
140	28023.68002
141	27997.89441
142	27961.04458
143	27919.33681
144	27869.68113
145	27857.87532
146	27833.44889
147	27812.11476
148	27786.17825
149	27760.53223
150	27751.17776
151	27716.13004
152	27672.75156
153	27634.70367
154	27610.71336
155	27565.59202
156	27546.05946
157	27495.27017
158	27445.74231
159	27394.07272
160	27359.1188
161	27343.03717
162	27299.17156
163	27284.29452
164	27261.98028
165	27242.79233
166	27209.10057
167	27184.83317
168	27161.32161
169	27141.57212
170	27117.35346
171	27098.18255
172	27059.51803
173	27051.0029
174	27017.01479
175	26994.45823
176	26967.6001
177	26933.37671
178	26931.13617
179	26913.25125
180	26903.55277
181	26893.51461
182	26869.1023
183	26832.1318
184	26798.96458
185	26762.6139
186	26738.75735
187	26712.0133
188	26675.56733
189	26659.53096
190	26620.61094
191	26576.76574
192	26557.48796
193	26527.65635
194	26525.31405
195	26511.63716
196	26497.20558
197	26466.40909
198	26449.50938
199	26426.01624
200	26418.84217
201	26402.45608
202	26383.38953
203	26363.92814
204	26344.88822
205	26337.65918
206	26322.08824
207	26303.72558
208	26271.84762
209	26242.26068
210	26227.70865
211	26215.04189
212	26190.08539
213	26159.06527
214	26142.25102
215	26118.2586
216	26098.69146
217	26070.75176
218	26052.43212
219	26030.34999
220	26023.95331
221	26000.58226
222	25971.77762
223	25968.23839
224	25948.28155
225	25931.32494
226	25918.86168
227	25898.62126
228	25889.95907
229	25872.33895
230	25849.38892
231	25837.82121
232	25816.90336
233	25799.21666
234	25782.9812
235	25770.16477
236	25759.1415
237	25749.20965
238	25733.5554
239	25717.53853
240	25704.14765
241	25681.28604
242	25679.32945
243	25669.80117
244	25669.47029
245	25644.03524
246	25630.60039
247	25609.21451
248	25592.13373
249	25566.33099
250	25555.0712
251	25535.50954
252	25532.94859
253	25523.73823
254	25511.36355
255	25496.48653
256	25474.32574
257	25455.90588
258	25423.87217
259	25411.99312
260	25404.1926
261	25390.65188
262	25379.69605
263	25377.81543
264	25377.53546
265	25367.94415
266	25366.56501
267	25348.34342
268	25319.24032
269	25302.45617
270	25289.95032
271	25275.93829
272	25258.13357
273	25251.47824
274	25241.26385
275	25240.41077
276	25221.69904
277	25204.36119
278	25193.04694
279	25162.16907
280	25142.73419
281	25127.26075
282	25104.72904
283	25093.6316
284	25079.99012
285	25062.33812
286	25040.86645
287	25026.51294
288	25015.3704
289	24998.27402
290	24985.01796
291	24964.13109
292	24945.67096
293	24931.82086
294	24925.83778
295	24906.71492
296	24888.04164
297	24861.88077
298	24855.01542
299	24838.74186
300	24823.16611
301	24813.20332
302	24790.51934
303	24777.00133
304	24764.62756
305	24754.54446
306	24742.91728
307	24728.8055
308	24707.08905
309	24688.30703
310	24681.51886
311	24653.75223
312	24637.7278
313	24617.31625
314	24592.66053
315	24571.77646
316	24563.32244
317	24550.09291
318	24535.68687
319	24511.58592
320	24493.51336
321	24479.93611
322	24464.90986
323	24452.75239
324	24444.84433
325	24427.3788
326	24413.82208
327	24393.85893
328	24379.05027
329	24365.30115
330	24355.67368
331	24352.15861
332	24334.75366
333	24323.99753
334	24310.87743
335	24303.6785
336	24291.2556
337	24273.26
338	24268.24704
339	24257.21468
340	24236.1118
341	24212.95606
342	24203.93914
343	24190.38077
344	24174.36137
345	24161.93887
346	24145.66254
347	24129.95793
348	24119.33537
349	24100.82858
350	24098.94632
351	24085.09765
352	24075.94689
353	24057.57122
354	24034.64468
355	24012.98694
356	23997.94164
357	23989.1139
358	23968.84987
359	23957.16975
360	23940.95833
361	23929.91623
362	23910.05608
363	23901.49999
364	23882.44804
365	23864.63099
366	23851.6898
367	23842.52156
368	23828.22668
369	23816.54536
370	23811.34168
371	23792.7878
372	23779.38996
373	23769.3151
374	23748.62916
375	23740.58158
376	23729.81953
377	23723.47647
378	23705.48069
379	23697.04013
380	23676.29873
381	23662.29871
382	23648.17558
383	23632.36401
384	23621.43323
385	23610.21938
386	23601.87081
387	23595.68957
388	23594.95829
389	23581.10394
390	23577.16987
391	23558.66432
392	23543.83346
393	23524.02842
394	23508.66664
395	23494.11221
396	23487.48403
397	23479.12307
398	23462.91763
399	23450.532
400	23442.72339
401	23429.23396
402	23423.71437
403	23415.45211
404	23397.69128
405	23380.4615
406	23370.19827
407	23366.09403
408	23356.81166
409	23336.81967
410	23320.86569
411	23306.936
412	23302.65883
413	23292.19454
414	23282.25413
415	23270.60423
416	23263.11677
417	23249.13335
418	23241.56896
419	23237.40568
420	23230.79921
421	23217.36699
422	23211.13465
423	23195.81212
424	23180.767
425	23180.12228
426	23167.49963
427	23159.57297
428	23149.88268
429	23137.65108
430	23123.32391
431	23110.14715
432	23103.37331
433	23085.49197
434	23072.56972
435	23059.19361
436	23045.05147
437	23039.44814
438	23037.54837
439	23029.13571
440	23014.7191
441	23008.97354
442	22995.0716
443	22984.43062
444	22975.2848
445	22966.27922
446	22952.38137
447	22943.26692
448	22941.01581
449	22934.69982
450	22932.3775
451	22924.61342
452	22916.24294
