iter	Passed	Remaining
0	21	42177
1	24	24812
2	26	17962
3	39	19560
4	55	22006
5	71	23899
6	76	21789
7	79	19693
8	81	18051
9	97	19451
10	102	18614
11	109	18103
12	112	17235
13	128	18233
14	130	17279
15	148	18441
16	152	17749
17	173	19083
18	185	19296
19	195	19381
20	197	18609
21	214	19249
22	216	18620
23	249	20562
24	266	21046
25	282	21484
26	300	21971
27	317	22391
28	320	21781
29	361	23753
30	386	24550
31	389	23961
32	395	23566
33	569	32927
34	576	32371
35	599	32689
36	610	32372
37	620	32024
38	629	31659
39	631	30935
40	633	30273
41	639	29790
42	658	29975
43	721	32079
44	750	32616
45	775	32944
46	807	33543
47	826	33593
48	856	34105
49	903	35232
50	920	35169
51	923	34602
52	942	34614
53	949	34206
54	970	34332
55	994	34525
56	997	33988
57	1013	33938
58	1030	33902
59	1047	33865
60	1049	33369
61	1071	33494
62	1103	33934
63	1111	33624
64	1127	33552
65	1137	33338
66	1169	33736
67	1178	33495
68	1184	33139
69	1190	32833
70	1198	32555
71	1234	33069
72	1261	33287
73	1286	33481
74	1288	33071
75	1321	33460
76	1352	33775
77	1378	33967
78	1440	35031
79	1479	35509
80	1495	35420
81	1585	37088
82	1594	36831
83	1611	36768
84	1699	38282
85	1754	39057
86	1774	39011
87	1863	40482
88	2012	43211
89	2035	43206
90	2050	43007
91	2068	42905
92	2092	42917
93	2117	42936
94	2140	42930
95	2196	43563
96	2244	44038
97	2262	43901
98	2282	43828
99	2299	43696
100	2308	43410
101	2324	43258
102	2341	43128
103	2357	42982
104	2378	42917
105	2393	42765
106	2409	42622
107	2425	42489
108	2441	42357
109	2458	42244
110	2478	42175
111	2494	42048
112	2510	41915
113	2527	41810
114	2544	41715
115	2568	41714
116	2573	41422
117	2593	41371
118	2615	41349
119	2641	41378
120	2649	41145
121	2674	41169
122	2699	41202
123	2722	41183
124	2738	41074
125	2739	40747
126	2755	40640
127	2772	40546
128	2790	40476
129	2807	40377
130	2822	40276
131	2828	40023
132	2845	39937
133	2862	39858
134	2879	39773
135	2884	39540
136	2890	39312
137	2906	39220
138	2910	38964
139	2927	38891
140	2929	38622
141	2946	38556
142	2963	38478
143	2980	38409
144	3011	38522
145	3030	38487
146	3229	40705
147	3360	42051
148	3377	41961
149	3400	41937
150	3404	41690
151	3429	41694
152	3454	41697
153	3480	41725
154	3495	41610
155	3519	41602
156	3534	41485
157	3556	41458
158	3575	41398
159	3593	41322
160	3611	41246
161	3618	41055
162	3678	41452
163	3748	41959
164	3765	41875
165	3793	41913
166	3877	42564
167	3940	42975
168	3970	43013
169	3996	43025
170	4003	42817
171	4025	42781
172	4057	42845
173	4066	42679
174	4093	42694
175	4111	42613
176	4128	42516
177	4145	42432
178	4149	42217
179	4169	42162
180	4172	41934
181	4175	41705
182	4191	41615
183	4208	41535
184	4224	41447
185	4241	41370
186	4258	41290
187	4275	41205
188	4291	41118
189	4307	41033
190	4323	40952
191	4340	40870
192	4359	40816
193	4447	41404
194	4585	42444
195	4609	42427
196	4627	42351
197	4649	42310
198	4667	42246
199	4688	42199
200	4700	42069
201	4726	42071
202	4789	42399
203	4830	42525
204	4864	42592
205	4867	42387
206	4884	42306
207	4905	42263
208	4923	42188
209	4944	42147
210	4971	42151
211	4991	42100
212	5014	42068
213	5034	42014
214	5054	41963
215	5074	41908
216	5093	41851
217	5117	41833
218	5143	41827
219	5167	41811
220	5191	41786
221	5216	41782
222	5246	41805
223	5251	41639
224	5280	41658
225	5309	41677
226	5341	41722
227	5372	41758
228	5395	41729
229	5413	41661
230	5434	41618
231	5455	41571
232	5474	41519
233	5496	41482
234	5515	41425
235	5539	41407
236	5569	41427
237	5595	41428
238	5676	41826
239	6092	44676
240	6171	45045
241	6216	45160
242	6224	45007
243	6251	44989
244	6252	44790
245	6337	45187
246	6366	45184
247	6397	45197
248	6462	45445
249	6488	45421
250	6516	45408
251	6544	45393
252	6550	45233
253	6572	45182
254	6590	45100
255	6613	45052
256	6633	44990
257	6652	44917
258	6674	44863
259	6698	44827
260	6725	44808
261	6745	44746
262	6765	44681
263	6770	44522
264	6773	44347
265	6780	44197
266	6782	44021
267	6801	43957
268	6826	43926
269	6846	43869
270	6864	43798
271	6883	43728
272	6900	43654
273	6920	43594
274	6940	43533
275	6941	43361
276	6957	43278
277	6975	43206
278	6996	43154
279	7021	43132
280	7046	43104
281	7071	43078
282	7095	43048
283	7111	42971
284	7128	42897
285	7146	42829
286	7170	42797
287	7212	42871
288	7397	43797
289	7419	43747
290	7436	43676
291	7460	43636
292	7483	43596
293	7507	43566
294	7517	43449
295	7580	43638
296	7615	43665
297	7651	43700
298	7669	43629
299	7686	43555
300	7702	43477
301	7719	43400
302	7735	43322
303	7751	43244
304	7768	43172
305	7784	43097
306	7801	43020
307	7817	42945
308	7833	42870
309	7849	42794
310	7866	42723
311	7883	42654
312	7900	42580
313	7917	42513
314	7935	42450
315	7956	42400
316	7975	42341
317	7995	42288
318	8011	42215
319	8028	42149
320	8050	42109
321	8069	42052
322	8096	42037
323	8118	41997
324	8145	41979
325	8162	41915
326	8180	41852
327	8198	41790
328	8215	41725
329	8231	41655
330	8247	41586
331	8251	41454
332	8267	41389
333	8285	41326
334	8306	41284
335	8322	41218
336	8339	41151
337	8355	41086
338	8371	41019
339	8387	40952
340	8408	40908
341	8453	40983
342	8665	41860
343	8781	42275
344	8801	42221
345	8825	42187
346	8849	42156
347	8874	42130
348	8899	42102
349	8924	42074
350	8932	41965
351	8959	41947
352	8980	41901
353	8999	41845
354	9023	41811
355	9046	41778
356	9114	41948
357	9146	41952
358	9184	41980
359	9266	42215
360	9298	42215
361	9336	42246
362	9372	42266
363	9402	42259
364	9432	42254
365	9455	42212
366	9478	42176
367	9510	42175
368	9543	42182
369	9561	42121
370	9579	42061
371	9596	41998
372	9613	41934
373	9629	41866
374	9646	41801
375	9664	41740
376	9680	41672
377	9696	41606
378	9712	41541
379	9729	41477
380	9745	41413
381	9768	41374
382	9816	41444
383	10011	42132
384	10033	42088
385	10057	42053
386	10079	42012
387	10099	41957
388	10109	41865
389	10135	41840
390	10223	42068
391	10259	42086
392	10275	42018
393	10292	41951
394	10308	41887
395	10324	41820
396	10342	41761
397	10359	41698
398	10376	41637
399	10393	41575
400	10411	41514
401	10427	41448
402	10447	41400
403	10462	41333
404	10479	41271
405	10495	41207
406	10512	41145
407	10533	41102
408	10550	41041
409	10567	40979
410	10583	40917
411	10615	40915
412	10633	40861
413	10655	40819
414	10679	40787
415	10701	40746
416	10726	40718
417	10750	40686
418	10781	40681
419	10799	40627
420	10815	40566
421	10832	40504
422	10848	40443
423	10865	40388
424	10882	40328
425	10898	40268
426	10915	40209
427	10932	40152
428	10948	40095
429	10967	40042
430	10984	39986
431	11000	39929
432	11016	39869
433	11074	39961
434	11266	40532
435	11285	40481
436	11308	40446
437	11332	40414
438	11358	40390
439	11387	40374
440	11445	40462
441	11478	40461
442	11522	40497
443	11556	40500
444	11594	40515
445	11619	40486
446	11636	40428
447	11654	40373
448	11671	40317
449	11691	40272
450	11717	40246
451	11743	40219
452	11769	40192
453	11792	40158
454	11880	40341
455	11930	40397
456	12052	40692
457	12089	40702
458	12149	40788
459	12174	40759
460	12198	40722
461	12220	40681
462	12236	40622
463	12256	40572
464	12470	41166
465	12625	41559
466	12644	41508
467	12666	41464
468	12689	41422
469	12714	41389
470	12778	41481
471	12841	41570
472	12859	41513
473	12876	41453
474	12892	41390
475	12908	41329
476	12925	41268
477	12942	41209
478	12959	41150
479	12975	41088
480	12991	41027
481	13007	40965
482	13024	40906
483	13040	40845
