iter	R2	RMSE
0	-3.632737075	141250.0723
1	-3.387332804	137458.0384
2	-3.160300024	133854.254
3	-2.948648602	130404.9556
4	-2.74725918	127035.973
5	-2.557664489	123780.5325
6	-2.378117952	120616.6485
7	-2.21726481	117709.9721
8	-2.052979495	114665.2431
9	-1.905589268	111863.1291
10	-1.759752422	109019.6827
11	-1.628766891	106401.0443
12	-1.497279429	103705.8898
13	-1.379679218	101234.621
14	-1.260740568	98672.29194
15	-1.153372741	96300.70307
16	-1.050175418	93964.83667
17	-0.949952485	91639.32186
18	-0.8554011723	89389.96466
19	-0.7718345516	87353.72625
20	-0.6878533287	85258.40516
21	-0.6070854712	83193.48926
22	-0.5303119443	81182.01679
23	-0.4607172628	79314.56252
24	-0.3953799104	77520.41433
25	-0.3325853441	75756.05811
26	-0.2725475733	74029.84938
27	-0.2198460827	72480.69853
28	-0.1682107433	70930.08008
29	-0.1170985844	69361.04106
30	-0.06778120535	67812.6925
31	-0.02118555805	66316.58964
32	0.0227244274	64875.14985
33	0.06422412711	63482.7562
34	0.1037748298	62126.7193
35	0.1415265318	60804.15969
36	0.1771387407	59529.62685
37	0.2087216654	58376.02102
38	0.2403507297	57197.41673
39	0.270221012	56061.60533
40	0.2985704445	54961.91839
41	0.3248793253	53921.32508
42	0.3497173175	52920.13538
43	0.373361617	51949.13836
44	0.3956437221	51017.17084
45	0.4158366516	50157.62968
46	0.4364460298	49264.9004
47	0.4542169418	48481.92747
48	0.4717910181	47694.98792
49	0.4881198099	46951.99103
50	0.5044898723	46195.12216
51	0.5195198196	45489.12585
52	0.5339844474	44799.17927
53	0.5480406142	44118.38001
54	0.5606105019	43500.54404
55	0.5736026307	42852.59344
56	0.5856999904	42240.33209
57	0.5975311626	41632.83467
58	0.6083759029	41068.09477
59	0.6186876993	40523.80901
60	0.62820296	40014.99954
61	0.6371875882	39528.55332
62	0.6456206172	39066.46148
63	0.6527954554	38668.96542
64	0.6604953543	38237.78377
65	0.6671134775	37863.25605
66	0.6747752024	37424.98874
67	0.6810209624	37063.88365
68	0.6873256129	36695.77006
69	0.6932689718	36345.33761
70	0.6987898521	36016.76082
71	0.7040006611	35703.86426
72	0.709185143	35389.80316
73	0.7139761179	35097.08121
74	0.71786177	34857.868
75	0.7218259745	34612.11515
76	0.7258254616	34362.39396
77	0.7299941301	34100.16301
78	0.7336718148	33867.13174
79	0.7373683081	33631.28164
80	0.7411389448	33388.98452
81	0.7441734952	33192.70307
82	0.7469387783	33012.82217
83	0.7499634866	32814.93659
84	0.7532018326	32601.74284
85	0.7557278067	32434.47467
86	0.7585874153	32244.06627
87	0.7612704704	32064.38566
88	0.7636514406	31904.08781
89	0.7660161654	31744.08251
90	0.7682493439	31592.23406
91	0.7703840437	31446.39639
92	0.7722453417	31318.68267
93	0.7741953558	31184.32064
94	0.7761629919	31048.15504
95	0.7780526441	30916.82161
96	0.7798480119	30791.52213
97	0.7814079316	30682.23924
98	0.7830987079	30563.34767
99	0.7847262123	30448.46675
100	0.7862385891	30341.32244
101	0.7877351727	30234.92325
102	0.7893829063	30117.34334
103	0.7903241579	30049.97051
104	0.7916977899	29951.37683
105	0.7929852872	29858.66996
106	0.794307719	29763.147
107	0.7954790951	29678.27844
108	0.7965833598	29598.0494
109	0.7973985501	29538.68291
110	0.7988280671	29434.28879
111	0.8001768454	29335.45021
112	0.801113624	29266.60657
113	0.8019207336	29207.16215
114	0.8029399686	29131.92117
115	0.8042370359	29035.88838
116	0.8049482507	28983.09611
117	0.805790187	28920.47604
118	0.8068208924	28843.63094
119	0.8075300042	28790.64342
120	0.8082523062	28736.56983
121	0.8089733146	28682.49142
122	0.8099126689	28611.88289
123	0.8105486078	28563.98213
124	0.8109326246	28535.01794
125	0.8116684212	28479.43872
126	0.8125687178	28411.28589
127	0.8134019895	28348.06088
128	0.8139544685	28306.06333
129	0.8145891923	28257.73676
130	0.81539539	28196.23512
131	0.8158336438	28162.74611
132	0.8165176846	28110.39565
133	0.8170165099	28072.15839
134	0.8172131441	28057.07115
135	0.8176602376	28022.73659
136	0.8183458511	27970.003
137	0.8188088688	27934.33392
138	0.819290334	27897.19536
139	0.8197880171	27858.75377
140	0.8200120466	27841.43216
141	0.8204251919	27809.46012
142	0.8209542146	27768.46693
143	0.8213665911	27736.47047
144	0.8222704619	27666.20931
145	0.8226056456	27640.10887
146	0.8227787621	27626.6188
147	0.8232824387	27587.33235
148	0.8238045351	27546.55004
149	0.8241380795	27520.46439
150	0.8246109311	27483.44144
151	0.8247230514	27474.65541
152	0.8250759379	27446.984
153	0.8256356819	27403.03466
154	0.8263284809	27348.54046
155	0.8270356844	27292.801
156	0.8273839579	27265.30935
157	0.8275966907	27248.50322
158	0.8281134287	27207.63711
159	0.8283769898	27186.76979
160	0.8288448055	27149.6912
161	0.8292312957	27119.02016
162	0.8295844054	27090.96775
163	0.8300379055	27054.89729
164	0.8305244702	27016.14337
165	0.8308373276	26991.19551
166	0.8311961738	26962.55198
167	0.831435518	26943.43032
168	0.8318852905	26907.46038
169	0.8322611406	26877.36536
170	0.8325271098	26856.04833
171	0.8329887765	26819.00622
172	0.8334484884	26782.07005
173	0.8337271828	26759.65314
174	0.8339208713	26744.06266
175	0.8341763678	26723.48318
176	0.8345540393	26693.0338
177	0.8348130768	26672.12908
178	0.8353968602	26624.95667
179	0.8358291084	26589.9751
180	0.8360902837	26568.81602
181	0.8364588479	26538.92815
182	0.8367147809	26518.15403
183	0.836898179	26503.25757
184	0.837252798	26474.42995
185	0.8375377389	26451.24383
186	0.837551136	26450.15318
187	0.8379366079	26418.75301
188	0.8382113074	26396.35345
189	0.8382718342	26391.41541
190	0.8387005709	26356.41076
191	0.8389977709	26332.11825
192	0.8394851005	26292.23636
193	0.8398847971	26259.48093
194	0.8402241623	26231.63761
195	0.8403560213	26220.81122
196	0.8403667199	26219.9326
197	0.8406382171	26197.62626
198	0.8409148474	26174.87864
199	0.8411094685	26158.86286
200	0.8415482325	26122.72005
201	0.8416915504	26110.90352
202	0.8420463056	26081.631
203	0.8423320289	26058.03072
204	0.8425763164	26037.83601
205	0.8430510454	25998.54634
206	0.8433050273	25977.50181
207	0.8435743945	25955.16384
208	0.8438741654	25930.28193
209	0.8440908895	25912.27828
210	0.8443640253	25889.57059
211	0.8445002545	25878.23745
212	0.8448508227	25849.05025
213	0.8451843038	25821.25504
214	0.8455177904	25793.42942
215	0.8458369218	25766.77345
216	0.8461252864	25742.66357
217	0.8463404972	25724.65529
218	0.8465583328	25706.41453
219	0.8466662685	25697.37159
220	0.846876266	25679.76871
221	0.8470954816	25661.38023
222	0.847309516	25643.41365
223	0.8475059186	25626.91605
224	0.8476505044	25614.76421
225	0.8478075239	25601.56085
226	0.8479487823	25589.67697
227	0.8482239509	25566.51153
228	0.8484201921	25549.97788
229	0.8485350643	25540.29473
230	0.8487535711	25521.86557
231	0.8489521417	25505.10631
232	0.8490770313	25494.56005
233	0.8492358604	25481.14147
234	0.8494313071	25464.61957
235	0.8497835803	25434.81339
236	0.8499238836	25422.93245
237	0.8501293982	25405.51938
238	0.85014747	25403.9876
239	0.8504056236	25382.09622
240	0.8505539432	25369.51019
241	0.8505675378	25368.35628
242	0.8507708417	25351.0935
243	0.8508479581	25344.54237
244	0.8508585253	25343.64454
245	0.8512063078	25314.07791
246	0.851412337	25296.54611
247	0.8515502454	25284.80416
248	0.8517093636	25271.24957
249	0.8520568746	25241.62131
250	0.8521679884	25232.14057
251	0.8523780287	25214.20923
252	0.8525241351	25201.72848
253	0.8528071529	25177.53481
254	0.8529462811	25165.63296
255	0.8530945021	25152.94707
256	0.8532258406	25141.70077
257	0.8533540545	25130.71715
258	0.8534944385	25118.68547
259	0.8536418058	25106.04907
260	0.8536457342	25105.71214
261	0.85380642	25091.92628
262	0.8539527019	25079.36959
263	0.8542004631	25058.08768
264	0.854306701	25048.95663
265	0.8544989323	25032.42608
266	0.8547122444	25014.06993
267	0.8548611684	25001.24659
268	0.8550240497	24987.21389
269	0.8551341508	24977.72389
270	0.8551377145	24977.41666
271	0.8551509295	24976.27736
272	0.8551789814	24973.85875
273	0.8552871523	24964.53017
274	0.8552981473	24963.58177
275	0.8555755826	24939.63909
276	0.8557950987	24920.67853
277	0.8560004878	24902.92512
278	0.8560822152	24895.85725
279	0.8561554195	24889.52476
280	0.8563396904	24873.57739
281	0.8565282955	24857.24433
282	0.856742884	24838.64807
283	0.8569436816	24821.23431
284	0.8571032078	24807.39102
285	0.8573127647	24789.19443
286	0.8574789523	24774.75426
287	0.8578230769	24744.8262
288	0.8580478355	24725.2597
289	0.8581661069	24714.95728
290	0.8582077726	24711.32683
291	0.8584152207	24693.24334
292	0.8587434175	24664.60699
293	0.85888809	24651.97323
294	0.8590307689	24639.50721
295	0.859033579	24639.26162
296	0.859288996	24616.92957
297	0.8594642708	24601.59292
298	0.8596503546	24585.3
299	0.859836634	24568.97913
300	0.860114743	24544.59243
301	0.8602131873	24535.95427
302	0.8602205656	24535.30673
303	0.8604177158	24517.99786
304	0.8605313984	24508.0115
305	0.8607154636	24491.8338
306	0.8608095318	24483.56192
307	0.8609090505	24474.8077
308	0.8610798375	24459.77702
309	0.8612660482	24443.37839
310	0.8614034014	24431.27534
311	0.8615808327	24415.63188
312	0.8617039448	24404.77165
313	0.8618062608	24395.74225
314	0.8618880809	24388.51921
315	0.8620197386	24376.89204
316	0.862236493	24357.73758
317	0.8624829196	24335.94269
318	0.8626221277	24323.62197
319	0.8628006705	24307.81076
320	0.8628669751	24301.93641
321	0.863041288	24286.48613
322	0.8632036437	24272.08683
323	0.863355401	24258.61978
324	0.8634878026	24246.86425
325	0.863584647	24238.26213
326	0.8636649444	24231.12746
327	0.8637401726	24224.4413
328	0.8640543688	24196.49609
329	0.8643631631	24168.99984
330	0.8646400736	24144.31603
331	0.864725132	24136.72885
332	0.8649355065	24117.95327
333	0.8650085996	24111.42641
334	0.8650887035	24104.27149
335	0.8652371484	24091.00669
336	0.8655071482	24066.86121
337	0.8656510665	24053.98101
338	0.8658594448	24035.31964
339	0.8659773259	24024.75634
340	0.8660604367	24017.30601
341	0.8663450222	23991.77729
342	0.8665078774	23977.15615
343	0.8666333956	23965.88104
344	0.8667064192	23959.319
345	0.8667944143	23951.40919
346	0.8668642134	23945.13316
347	0.8669873968	23934.05302
348	0.8670827512	23925.47254
349	0.867264101	23909.14523
350	0.8674708948	23890.51353
351	0.867577973	23880.86029
352	0.8677151444	23868.48841
353	0.8678571464	23855.67408
354	0.867953879	23846.94094
355	0.8680248531	23840.53128
356	0.8681522649	23829.0204
357	0.868350342	23811.11431
358	0.8684433011	23802.70619
359	0.8685313851	23794.73629
360	0.8686494981	23784.04514
361	0.8686940301	23780.01303
362	0.8688449756	23766.3407
363	0.8689172804	23759.78869
364	0.8691138497	23741.96712
365	0.8692776009	23727.11074
366	0.8693355233	23721.85347
367	0.8693946556	23716.48519
368	0.8694288074	23713.3842
369	0.8695745362	23700.1474
370	0.8697313455	23685.89588
371	0.8698653819	23673.70727
372	0.8700333514	23658.42408
373	0.8701963236	23643.58614
374	0.8702376874	23639.81865
375	0.8702465766	23639.00893
376	0.8704448581	23620.94016
377	0.8705897213	23607.73049
378	0.870718696	23595.96342
379	0.8708210991	23586.61645
380	0.8708795864	23581.27627
381	0.8709926212	23570.95224
382	0.8710687448	23563.99693
383	0.8712688287	23545.70577
384	0.8712752834	23545.11546
385	0.871349094	23538.36412
386	0.8714092534	23532.86
387	0.8714202748	23531.85149
388	0.8715437719	23520.54794
389	0.8716325833	23512.41578
390	0.8716980613	23506.41838
391	0.8719018474	23487.74296
392	0.8720871256	23470.75074
393	0.8722070746	23459.74344
394	0.8724232336	23439.89421
395	0.8725564023	23427.65736
396	0.8726119484	23422.55135
397	0.8727898507	23406.19039
398	0.8728966068	23396.36697
399	0.8729566322	23390.84178
400	0.8731607386	23372.04449
401	0.8732998155	23359.22747
402	0.8733495871	23354.63892
403	0.8733865482	23351.23082
404	0.8734102751	23349.04275
405	0.8734526113	23345.13804
406	0.873463481	23344.1354
407	0.8736360769	23328.20927
408	0.8738542123	23308.06544
409	0.873982309	23296.22816
410	0.874162423	23279.57385
411	0.8742725549	23269.38458
412	0.8744228225	23255.47481
413	0.8746155008	23237.62704
414	0.8746941118	23230.34137
415	0.8748185919	23218.79988
416	0.8748266754	23218.0502
417	0.874965825	23205.14138
418	0.8751385625	23189.10663
419	0.8751474189	23188.28421
420	0.8753776062	23166.89855
421	0.8754591984	23159.31345
422	0.8754881429	23156.62206
423	0.8756670322	23139.98123
424	0.875871326	23120.96255
425	0.8759807328	23110.77092
426	0.8761289243	23096.95918
427	0.8762002929	23090.30453
428	0.8764018243	23071.50272
429	0.8765763167	23055.21112
430	0.8766504493	23048.2862
431	0.8767693516	23037.17488
432	0.8768522716	23029.42289
433	0.877004069	23015.22497
434	0.8771219568	23004.19263
435	0.87721557	22995.42822
436	0.8773003674	22987.4863
437	0.8774811345	22970.54692
438	0.8776521977	22954.50535
439	0.8776868079	22951.2584
440	0.877882078	22932.9305
441	0.8779681575	22924.8465
442	0.8779762682	22924.08466
443	0.8779893559	22922.85526
444	0.8780913203	22913.27493
445	0.8781534754	22907.43302
446	0.8782073098	22902.37196
447	0.8783575432	22888.24237
448	0.8784325132	22881.18811
449	0.8785737608	22867.89157
450	0.8786283694	22862.74885
451	0.8787185176	22854.25667
452	0.8787415201	22852.08927
453	0.8788472887	22842.12065
454	0.8790426117	22823.70013
455	0.8792602025	22803.16206
456	0.879365697	22793.19793
457	0.8794360587	22786.54973
458	0.8794679507	22783.53575
459	0.8796105411	22770.0552
460	0.8796378988	22767.46788
461	0.8796598642	22765.39032
462	0.8796751577	22763.94369
463	0.8797695402	22755.01396
464	0.8798472124	22747.66258
465	0.8798566268	22746.77139
466	0.8799813049	22734.96566
467	0.880073987	22726.18565
468	0.8801350769	22720.39659
469	0.8802335813	22711.05892
470	0.8802827479	22706.39676
471	0.880310886	22703.72816
472	0.8804013008	22695.15119
473	0.8805238352	22683.52209
474	0.8805419932	22681.79831
475	0.8806020408	22676.0969
476	0.8806436688	22672.14355
477	0.8806860378	22668.11912
478	0.8807658176	22660.53929
479	0.8809157677	22646.28574
480	0.8810284156	22635.57207
481	0.8811792413	22621.21945
482	0.8812143861	22617.87375
483	0.8812504244	22614.44247
484	0.8813093395	22608.83194
485	0.8814410138	22596.28744
486	0.8816106562	22580.1155
487	0.8817519724	22566.63502
488	0.8818708433	22555.28942
489	0.8820504509	22538.13597
490	0.8821901735	22524.78273
491	0.8822694328	22517.20442
492	0.8823469723	22509.78807
493	0.8824962541	22495.50298
494	0.8825601078	22489.38992
495	0.8826167018	22483.97047
496	0.882669613	22478.90251
497	0.882767301	22469.54272
498	0.8829606264	22451.0081
499	0.8830023232	22447.00852
500	0.8830750606	22440.02979
501	0.8831142832	22436.2657
502	0.8832583051	22422.4389
503	0.8832654308	22421.75458
504	0.8833596058	22412.70844
505	0.8834530781	22403.72619
506	0.8834806284	22401.07805
507	0.8835899219	22390.56964
508	0.8837471053	22375.44803
509	0.8837897703	22371.34174
510	0.8838989054	22360.83461
511	0.8839571568	22355.22435
512	0.8839905162	22352.01084
513	0.884022669	22348.91313
514	0.8841005216	22341.41074
515	0.8841881643	22332.9619
516	0.8842395788	22328.00401
517	0.8843056686	22321.62936
518	0.8843820542	22314.25937
519	0.8843983259	22312.68909
520	0.8844368161	22308.97422
521	0.8844871414	22304.11615
522	0.8845682012	22296.28895
523	0.8846309541	22290.22759
524	0.8846379233	22289.55433
525	0.8847031639	22283.25074
526	0.8848226137	22271.7048
527	0.8849272289	22261.58785
528	0.88504056	22250.62282
529	0.8850928613	22245.56074
530	0.8851401696	22240.98093
531	0.8851735776	22237.7462
532	0.8851980871	22235.37276
533	0.8852399812	22231.31527
534	0.8854036619	22215.4555
535	0.8855345562	22202.7644
536	0.8856233615	22194.14998
537	0.885742991	22182.54023
538	0.8857715089	22179.77173
539	0.8858354556	22173.56259
540	0.8858907702	22168.19021
541	0.8859455918	22162.86443
542	0.8859549731	22161.95294
543	0.886023198	22155.323
544	0.886127525	22145.1809
545	0.8861782689	22140.24618
546	0.8862294788	22135.26502
547	0.8862409385	22134.15019
548	0.886301827	22128.22584
549	0.8864222298	22116.5062
550	0.8864957376	22109.34811
551	0.8865292367	22106.08524
552	0.8865380188	22105.22977
553	0.8865982882	22099.358
554	0.886617374	22097.49823
555	0.886722736	22087.22868
556	0.8868121198	22078.51277
557	0.88692502	22067.49882
558	0.8870457999	22055.71008
559	0.8871662394	22043.94829
560	0.8873145965	22029.45151
561	0.8873946388	22021.62618
562	0.8874783753	22013.43671
563	0.8875657505	22004.88812
564	0.8876391244	21997.70682
565	0.8877443674	21987.40232
566	0.8878786054	21974.25185
567	0.8878851401	21973.61149
568	0.8880177115	21960.61617
569	0.8881144631	21951.12725
570	0.888195621	21943.16451
571	0.8882663778	21936.21991
572	0.8882930517	21933.60136
573	0.8884043445	21922.67249
574	0.8884685987	21916.36031
575	0.8885856234	21904.85938
576	0.8887099031	21892.63883
577	0.8888486699	21878.98569
578	0.8888799402	21875.90786
579	0.888960092	21868.0168
580	0.8889804888	21866.00825
581	0.8890700072	21857.19086
582	0.8890983187	21854.40149
583	0.8892201202	21842.39703
584	0.8893501351	21829.57579
585	0.8894168928	21822.98965
586	0.8894695825	21817.79001
587	0.8895837652	21806.51773
588	0.8896214211	21802.79902
589	0.8897126242	21793.7896
590	0.8897189742	21793.16218
591	0.8897669675	21788.41957
592	0.8898757763	21777.66346
593	0.8899680583	21768.53692
594	0.8900676407	21758.68408
595	0.8900872618	21756.7422
596	0.8901887225	21746.69804
597	0.8902334092	21742.27278
598	0.8903317541	21732.53065
599	0.8903658546	21729.15161
600	0.8904223415	21723.55312
601	0.8905508798	21710.80815
602	0.8905800624	21707.91357
603	0.8907003572	21695.97759
604	0.890739999	21692.04278
605	0.8907601246	21690.04486
606	0.890775138	21688.55432
607	0.8908571292	21680.41239
608	0.8909774119	21668.46247
609	0.891099245	21656.35179
610	0.8912375306	21642.59746
611	0.8912796489	21638.40651
612	0.8913370917	21632.68938
613	0.8914112296	21625.30841
614	0.89143917	21622.52609
615	0.8915346902	21613.01141
616	0.8916128683	21605.22104
617	0.8916745578	21599.07177
618	0.8917015584	21596.37976
619	0.8917822997	21588.32774
620	0.8917880135	21587.7578
621	0.8918088816	21585.67617
622	0.8918866313	21577.91868
623	0.8919147912	21575.10834
624	0.8919668019	21569.91673
625	0.8920830367	21558.30988
626	0.8921703449	21549.58745
627	0.8922988128	21536.74657
628	0.8923461077	21532.01733
629	0.8923517892	21531.44913
630	0.8923935954	21527.26776
631	0.8924454631	21522.07892
632	0.8925279137	21513.82799
633	0.8925449101	21512.12676
634	0.8926203805	21504.57098
635	0.8926796631	21498.63399
636	0.8927643209	21490.1529
637	0.8928190627	21484.66703
638	0.8928716274	21479.39804
639	0.8929152451	21475.02488
640	0.8929407216	21472.47017
641	0.8930419983	21462.31143
642	0.8931133984	21455.14662
643	0.8931934903	21447.10676
644	0.8932671771	21439.70721
645	0.8933018844	21436.22105
646	0.8934116161	21425.19538
647	0.8934449795	21421.84195
648	0.8935440765	21411.87839
649	0.8936387625	21402.354
650	0.8937042156	21395.76764
651	0.8937802956	21388.10938
652	0.8938182976	21384.28305
653	0.8938397042	21382.12737
654	0.8939179068	21374.25038
655	0.8939353323	21372.4948
656	0.8940339385	21362.5577
657	0.8941516529	21350.6889
658	0.8942161762	21344.18041
659	0.8942345315	21342.32853
660	0.8942530137	21340.4637
661	0.8943082121	21334.89326
662	0.8943686662	21328.79078
663	0.8944385974	21321.72944
664	0.8944512301	21320.45361
665	0.8944951137	21316.02099
666	0.8945672645	21308.73112
667	0.8946167783	21303.72699
668	0.8946641775	21298.93546
669	0.8946972014	21295.59648
670	0.8947323604	21292.04104
671	0.8947726009	21287.97101
672	0.8948423139	21280.91823
